"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Wisconsin","Milt Bruhn","#2","#2","8–2","6–1","32.2","13.0","Ron Vander Kelen"
"2","Minnesota","Murray Warmath","#10","#5","6–2–1","5–2","14.6","6.8","Bobby Bell"
"3 (tie)","Northwestern","Ara Parseghian","NR","#1","7–2","4–2","26.3","17.6","George Thomas"
"3 (tie)","Ohio State","Woody Hayes","NR","#1","6–3","4–2","22.8","10.9","Bill Armstrong"
"5 (tie)","Michigan State","Duffy Daugherty","NR","#4","5–4","3–3","21.0","10.7","George Saimes"
"5 (tie)","Purdue","Jack Mollenkopf","NR","#7","4–4–1","3–3","15.7","7.6","Roy Walker"
"5 (tie)","Iowa","Jerry Burns","NR","NR","4–5","3–3","14.1","18.4","Larry Ferguson"
"8","Illinois","Pete Elliott","NR","NR","2–7","2–5","8.3","26.0","Ken Zimmerman"
"9","Indiana","Phil Dickens","NR","NR","3–6","1–5","14.0","15.6","Woody Moore"
"10","Michigan","Bump Elliott","NR","NR","2–7","1–6","7.8","23.8","Dave Raimey"
