"Draw","Country","Artist","Song","Language","Place","Points"
"01","Belarus","Nadezhda Misyakova","%INLINEQ%Sokal%INLINEQ% (Сокал)","Belarusian","7","71"
"02","Bulgaria","Krisia, Hasan & Ibrahim","%INLINEQ%Planet of the Children%INLINEQ%","Bulgarian","2","147"
"03","San Marino","The Peppermints","%INLINEQ%Breaking My Heart%INLINEQ%","Italian, English","15","21"
"04","Croatia","Josie","%INLINEQ%Game Over%INLINEQ%","Croatian, English","16","13"
"05","Cyprus","Sophia Patsalides","%INLINEQ%I pio omorfi mera%INLINEQ% (Η πιο όμορφη μέρα)","Greek, English","9","69"
"06","Georgia","Lizi Pop","%INLINEQ%Happy Day%INLINEQ%","Georgian, English","11","54"
"07","Sweden","Julia Kedhammar","%INLINEQ%Du är inte ensam%INLINEQ%","Swedish, English","13","28"
"08","Ukraine","Sympho-Nick","%INLINEQ%Spring Will Come%INLINEQ%","Ukrainian, English","6","74"
"09","Slovenia","Ula Ložar","%INLINEQ%Nisi sam (Your Light)%INLINEQ%","Slovene, English","12","29"
"10","Montenegro","Maša Vujadinović & Lejla Vulić","%INLINEQ%Budi dijete na jedan dan%INLINEQ%","Montenegrin, English","14","24"
"11","Italy","Vincenzo Cantiello","%INLINEQ%Tu primo grande amore%INLINEQ%","Italian, English","1","159"
"12","Armenia","Betty","%INLINEQ%People of the Sun%INLINEQ%","Armenian, English","3","146"
"13","Russia","Alisa Kozhikina","%INLINEQ%Dreamer%INLINEQ%","Russian, English","5","96"
"14","Serbia","Emilija Đonin","%INLINEQ%Svet u mojim očima%INLINEQ% (Свет у мојим очима)","Serbian","10","61"
"15","Malta","Federica Falzon","%INLINEQ%Diamonds%INLINEQ%","English","4","116"
"16","Netherlands","Julia van Bergen","%INLINEQ%Around%INLINEQ%","Dutch, English","8","70"
