"Ranking","Nationality","Name","Years","Official goals","Total","Ref"
"1","Argentina","Lionel Messi","2004–","598","633",""
"2","Spain","César","1942–1955","232","301",""
"3","Hungary","László Kubala","1950–1961","194","280",""
"4","Spain","Josep Samitier","1919–1932","184","333",""
"5","Uruguay","Luis Suárez","2014–","176","184",""
"6","Spain","Josep Escolà","1934–1949","167","223",""
"7","Spain","Paulino Alcántara","1912–16, 1918–27","143","369",""
"8","Cameroon","Samuel Eto'o","2004–2009","130","152",""
"9","Brazil","Rivaldo","1997–2002","130","136",""
"10","Spain","Mariano Martín","1940–1948","128","188",""
