"Edition","Year","City","Country","Date"
"1","1974","Wiesbaden","West Germany","23–28 September"
"2","1976","Orléans","France","21–27 June"
"3","1978","Izmir","Turkey","18–24 July"
"4","1980","Turin","Italy","1–7 June"
"5","1982","Lille","France","1–6 June"
"6","1984","Florence","Italy","5–9 June"
"7","1986","Nice","France","2–7 June"
"8","1988","Barcelona","Spain","3–9 June"
"9","1990","Bruges","Belgium","20–27 May"
"10","1994","Nicosia","Cyprus","14–21 May"
"11","1998","Shanghai","China","12–19 October"
"12","2002","Caen","France","27 May – 3 June"
"13","2006","Athens/Thessaloniki","Greece","26 June – 3 July"
"14","2009","Doha","Qatar","7–12 December"
"15","2013","Brasília","Brazil","28 November – 4 December"
"16","2016","Trabzon","Turkey","11–18 July"
"17","2018","Marrakech","Morocco","2–9 May"
"18","2020","Jinjiang","China",""
