"Rank","Athlete","Nationality","#1","#2","#3","#4","#5","#6","Result","Notes"
"","Keshorn Walcott","Trinidad and Tobago","83.51","84.58","x","80.64","x","–","84.58","NR"
"","Antti Ruuskanen","Finland","79.60","81.09","81.60","81.97","84.12","79.88","84.12",""
"","Vítězslav Veselý","Czech Republic","x","81.69","81.80","x","80.32","83.34","83.34",""
"4","Tero Pitkämäki","Finland","77.33","82.68","80.67","80.46","82.80","82.53","82.80",""
"5","Andreas Thorkildsen","Norway","x","82.63","x","81.70","x","x","82.63",""
"6","Spiridon Lebesis","Greece","81.21","81.91","81.27","80.36","x","79.45","81.91",""
"7","Tino Haber","Germany","76.99","74.33","81.21","79.95","76.36","75.85","81.21",""
"8","Stuart Farquhar","New Zealand","76.80","76.64","80.22","–","–","–","80.22",""
"9","Roderick Genki Dean","Japan","x","79.95","x","–","–","–","79.95",""
"10","Ari Mannio","Finland","78.60","77.71","x","–","–","–","78.60",""
"11","Julius Yego","Kenya","72.59","77.15","74.08","–","–","–","77.15",""
"DSQ","Oleksandr Pyatnytsya","Ukraine","77.47","81.61","84.51","81.53","81.01","83.53","84.51","DQ"
