"#","Date","Visitor","Score","Home","OT","Decision","Attendance","Record","Pts"
"23","December 1","Anaheim","2 – 5","Detroit","","Vernon","19,881","15–6–2","32"
"24","December 2","Detroit","11 – 1","Montreal","","Vernon","17,803","16–6–2","34"
"25","December 5","Philadelphia","3 – 5","Detroit","","Osgood","19,918","17–6–2","36"
"26","December 7","Dallas","1 – 3","Detroit","","Vernon","19,640","18–6–2","38"
"27","December 8","Detroit","1 – 2","NY Rangers","*","Osgood","18,200","18–7–2","38"
"28","December 12","Detroit","5 – 2","St. Louis","","Vernon","17,965","19–7–2","40"
"29","December 13","Chicago","1 – 3","Detroit","","Osgood","19,983","20–7–2","42"
"30","December 15","New Jersey","1 – 3","Detroit","","Vernon","19,983","21–7–2","44"
"31","December 20","Detroit","6 – 1","Anaheim","","Vernon","17,174","22–7–2","46"
"32","December 22","Detroit","5 – 1","Calgary","","Osgood","17,302","23–7–2","48"
"33","December 23","Detroit","1 – 0","Vancouver","","Vernon","18,422","24–7–2","50"
"34","December 26","St. Louis","2 – 3","Detroit","","Osgood","19,983","25–7–2","52"
"35","December 29","Detroit","2 – 1","Dallas","","Osgood","16,924","26–7–2","54"
"36","December 31","Hartford","2 – 3","Detroit","","Osgood","19,983","27–7–2","56"
