"Draw","Country","Artist","Song","Language","Place","Points"
"01","Sweden","Mimmi Sandén","%INLINEQ%Du%INLINEQ%","Swedish","6","68"
"02","Russia","Ekaterina Ryabova","%INLINEQ%Malenkiy prints%INLINEQ% (Маленький принц)","Russian","2","116"
"03","Armenia","Luara Hayrapetyan","%INLINEQ%Barcelona%INLINEQ% (Բարսելոնա)","Armenian","2","116"
"04","Romania","Ioana Anuța","%INLINEQ%Ai puterea în mâna ta%INLINEQ%","Romanian","13","19"
"05","Serbia","Ništa lično","%INLINEQ%Onaj pravi%INLINEQ% (Онаj прави)","Serbian, Croatian","10","34"
"06","Georgia","Princesses","%INLINEQ%Lurji prinveli%INLINEQ% (ლურჯი ფრინველი)","Georgian, English","6","68"
"07","Netherlands","Ralf Mackenbach","%INLINEQ%Click Clack%INLINEQ%","Dutch, English","1","121"
"08","Cyprus","Rafaella Kosta","%INLINEQ%Thalassa, ilios, aeras, fotia%INLINEQ% (Θάλασσα, ήλιος, αέρας, φωτιά)","Greek","11","32"
"09","Malta","Francesca & Mikaela","%INLINEQ%Double Trouble%INLINEQ%","English","8","55"
"10","Ukraine","Andranik Alexanyan","%INLINEQ%Try topoli, try surmy%INLINEQ% (Три тополі, три сурми)","Ukrainian","5","89"
"11","Belgium","Laura Omloop","%INLINEQ%Zo verliefd (Yodelo)%INLINEQ%","Dutch","4","113"
"12","Belarus","Yuriy Demidovich","%INLINEQ%Volshebniy krolik%INLINEQ% (Волшебный кролик)","Russian","9","48"
"13","Macedonia","Sara Markoska","%INLINEQ%Za ljubovta%INLINEQ% (За љубовта)","Macedonian","12","31"
