"Draw","Country","Artist","Song","Language","Place","Points"
"01","Ireland","The Swarbriggs Plus Two","%INLINEQ%It's Nice to Be in Love Again%INLINEQ%","English","3","119"
"02","Monaco","Michèle Torr","%INLINEQ%Une petite française%INLINEQ%","French","4","96"
"03","Netherlands","Heddy Lester","%INLINEQ%De mallemolen%INLINEQ%","Dutch","12","35"
"04","Austria","Schmetterlinge","%INLINEQ%Boom Boom Boomerang%INLINEQ%","German","17","11"
"05","Norway","Anita Skorgan","%INLINEQ%Casanova%INLINEQ%","Norwegian","14","18"
"06","Germany","Silver Convention","%INLINEQ%Telegram%INLINEQ%","English","8","55"
"07","Luxembourg","Anne-Marie B","%INLINEQ%Frère Jacques%INLINEQ%","French","16","17"
"08","Portugal","Os Amigos","%INLINEQ%Portugal no coração%INLINEQ%","Portuguese","14","18"
"09","United Kingdom","Lynsey de Paul & Mike Moran","%INLINEQ%Rock Bottom%INLINEQ%","English","2","121"
"10","Greece","Paschalis, Marianna, Robert & Bessy","%INLINEQ%Mathima solfege%INLINEQ% (Μάθημα σολφέζ)","Greek","5","92"
"11","Israel","Ilanit","%INLINEQ%Ahava Hi Shir Lishnayim%INLINEQ% (אהבה היא שיר לשניים)","Hebrew","11","49"
"12","Switzerland","Pepe Lienhard Band","%INLINEQ%Swiss Lady%INLINEQ%","German","6","71"
"13","Sweden","Forbes","%INLINEQ%Beatles%INLINEQ%","Swedish","18","2"
"14","Spain","Micky","%INLINEQ%Enséñame a cantar%INLINEQ%","Spanish","9","52"
"15","Italy","Mia Martini","%INLINEQ%Libera%INLINEQ%","Italian","13","33"
"16","Finland","Monica Aspelund","%INLINEQ%Lapponia%INLINEQ%","Finnish","10","50"
"17","Belgium","Dream Express","%INLINEQ%A Million in One, Two, Three%INLINEQ%","English","7","69"
"18","France","Marie Myriam","%INLINEQ%L'oiseau et l'enfant%INLINEQ%","French","1","136"
