"Election","# of total votes","% of popular vote","# of seats won","Government"
"1973","485,289","15.9%","28 / 179","providing parliamentary support"
"1975","414,219","13.6%","24 / 179","in opposition"
"1977","453,792","14.6%","26 / 179","in opposition"
"1979","349,243","11.0%","20 / 179","in opposition"
"1981","278,383","8.9%","16 / 179","in opposition"
"1984","120,461","3.6%","6 / 179","in opposition"
"1987","160,461","4.8%","9 / 179","in opposition"
"1988","298,132","9.0%","16 / 179","in opposition"
"1990","208,484","6.4%","12 / 179","in opposition"
"1994","214,057","6.4%","11 / 179","in opposition"
"1998","82,437","2.4%","4 / 179","in opposition"
"2001","19,340","0.6%","0 / 179","extra-parliamentary"
