"Draw","Country","Artist","Song","Language","Place","Award"
"01","South Korea","Afrodino","Pepperoni (페퍼 로니)","Korean","6",""
"02","Brunei","Maria Aires","Yang Terindah","Malay","3","Silver Award"
"03","Malaysia","K-Town Clan","Party Animal","English","5","Jury Award"
"04","Vanuatu","Sammy Ray Jones","Rinet","English","4","Bronze Award"
"05","Pakistan","Bilal Ahmed","Wada (وعدہ)","Urdu","6",""
"06","Malaysia","Sabhi Sadhi","Waktu","Malay","6",""
"07","Bhutan","Dechen Wangmo","Black as Snow","English, Dzongkha","6",""
"08","Iran","Man Brothers","Iran (ایران)","Persian","6",""
"09","Australia","Danielle Blakey","Fearless","English","2","Gold Award"
"10","Indonesia","Rando Sembiring","Menunggu","Indonesian","6",""
"11","Singapore","Jae Ang","Promise Me","English","6",""
"12","Vietnam","Chu Mạnh Chương","Quê Hương Ơn Bác","Vietnamese","6",""
"13","South Korea","Bily Acoustie","For a Rest","Korean","1","Grand Prix"
