"Artist","Single","Released","Sales (in millions)","Source"
"Maroon 5","%INLINEQ%One More Night%INLINEQ%","2012","6.9",""
"Usher featuring will.i.am","%INLINEQ%OMG%INLINEQ%","2010","6.9",""
"Katy Perry","%INLINEQ%California Gurls%INLINEQ%","2010","6.7",""
"Flo Rida","%INLINEQ%Whistle%INLINEQ%","2012","6.6",""
"Train","%INLINEQ%Hey, Soul Sister%INLINEQ%","2009","6.6",""
"Rihanna featuring Jay Z","%INLINEQ%Umbrella%INLINEQ%","2007","6.6",""
"Taylor Swift","%INLINEQ%Love Story%INLINEQ%","2009","6.5",""
"Flo Rida featuring Sia","%INLINEQ%Wild Ones%INLINEQ%","2012","6.5",""
"Bruno Mars","%INLINEQ%The Lazy Song%INLINEQ%","2011","6.5",""
"Shōnan no Kaze","%INLINEQ%Junrenka%INLINEQ%","2006","6.5",""
"Justin Bieber featuring Ludacris","%INLINEQ%Baby%INLINEQ%","2010","6.4",""
"Timbaland","%INLINEQ%Apologize%INLINEQ%","2008","6.2",""
"Paramore","%INLINEQ%crushcrushcrush%INLINEQ%","2007","6.1",""
"Beyoncé","%INLINEQ%Single Ladies (Put a Ring on It)%INLINEQ%","2008","6.1",""
"A Great Big World and Christina Aguilera","%INLINEQ%Say Something%INLINEQ%","2013","6",""
"Clean Bandit featuring Jess Glynne","%INLINEQ%Rather Be%INLINEQ%","2014","6",""
"Kimura Kaela","%INLINEQ%Butterfly%INLINEQ%","2009","6",""
"The Pussycat Dolls featuring Busta Rhymes","%INLINEQ%Don't Cha%INLINEQ%","2005","6",""
