"Draw","Country","Artist","Song","Language","Place","Points"
"01","Serbia","Željko Joksimović","%INLINEQ%Nije ljubav stvar%INLINEQ% (Није љубав ствар)","Serbian","2","159"
"02","Macedonia","Kaliopi","%INLINEQ%Crno i belo%INLINEQ% (Црно и бело)","Macedonian","9","53"
"03","Netherlands","Joan Franka","%INLINEQ%You and Me%INLINEQ%","English","15","35"
"04","Malta","Kurt Calleja","%INLINEQ%This Is the Night%INLINEQ%","English","7","70"
"05","Belarus","Litesound","%INLINEQ%We Are the Heroes%INLINEQ%","English","16","35"
"06","Portugal","Filipa Sousa","%INLINEQ%Vida minha%INLINEQ%","Portuguese","13","39"
"07","Ukraine","Gaitana","%INLINEQ%Be My Guest%INLINEQ%","English","8","64"
"08","Bulgaria","Sofi Marinova","%INLINEQ%Love Unlimited%INLINEQ%","Bulgarian","11","45"
"09","Slovenia","Eva Boto","%INLINEQ%Verjamem%INLINEQ%","Slovene","17","31"
"10","Croatia","Nina Badrić","%INLINEQ%Nebo%INLINEQ%","Croatian","12","42"
"11","Sweden","Loreen","%INLINEQ%Euphoria%INLINEQ%","English","1","181"
"12","Georgia","Anri Jokhadze","%INLINEQ%I'm a Joker%INLINEQ%","English, Georgian","14","36"
"13","Turkey","Can Bonomo","%INLINEQ%Love Me Back%INLINEQ%","English","5","80"
"14","Estonia","Ott Lepland","%INLINEQ%Kuula%INLINEQ%","Estonian","4","100"
"15","Slovakia","Max Jason Mai","%INLINEQ%Don't Close Your Eyes%INLINEQ%","English","18","22"
"16","Norway","Tooji","%INLINEQ%Stay%INLINEQ%","English","10","45"
"17","Bosnia and Herzegovina","Maya Sar","%INLINEQ%Korake ti znam%INLINEQ%","Bosnian","6","77"
"18","Lithuania","Donny Montell","%INLINEQ%Love Is Blind%INLINEQ%","English","3","104"
