"Rank","Rider","Team","Speed","Time"
"1","United Kingdom Freddie Dixon","HRD","67.19 mph (108.13 km/h)","3.55.54"
"2","United Kingdom H J Willis","Velocette","","4.06.39"
"3","United Kingdom Jimmie Simpson","AJS","","4.08.22"
"4","United Kingdom G L Reynard","Royal Enfield","","4.08.24"
"5","Republic of Ireland C. W. Johnston","Cotton","","4.10.21"
"6","United Kingdom Edwin Twemlow","Excelsior","","4.12.19"
"7","United Kingdom C S Barrow","Royal Enfield","","4.15.23"
"8","United Kingdom L R Cohen","AJS","","4.18.34"
"9","United Kingdom W S Pearce","DOT","","4.21.39"
"10","United Kingdom George Himing","Zenith","","4.22.27"
