"Draw","Country","Artist","Song","Language","Place","Points"
"01","Hungary","NOX","%INLINEQ%Forogj, világ!%INLINEQ%","Hungarian","12","97"
"02","United Kingdom","Javine","%INLINEQ%Touch My Fire%INLINEQ%","English","22","18"
"03","Malta","Chiara","%INLINEQ%Angel%INLINEQ%","English","2","192"
"04","Romania","Luminița Anghel & Sistem","%INLINEQ%Let Me Try%INLINEQ%","English","3","158"
"05","Norway","Wig Wam","%INLINEQ%In My Dreams%INLINEQ%","English","9","125"
"06","Turkey","Gülseren","%INLINEQ%Rimi Rimi Ley%INLINEQ%","Turkish","13","92"
"07","Moldova","Zdob și Zdub","%INLINEQ%Boonika bate doba%INLINEQ%","English, Romanian","6","148"
"08","Albania","Ledina Çelo","%INLINEQ%Tomorrow I Go%INLINEQ%","English","16","53"
"09","Cyprus","Constantinos Christoforou","%INLINEQ%Ela Ela%INLINEQ%","English","18","46"
"10","Spain","Son de Sol","%INLINEQ%Brujería%INLINEQ%","Spanish","21","28"
"11","Israel","Shiri Maimon","%INLINEQ%Hasheket Shenish'ar%INLINEQ% (השקט שנשאר)","Hebrew, English","4","154"
"12","Serbia and Montenegro","No Name","%INLINEQ%Zauvijek moja%INLINEQ% (Заувијек моја)","Montenegrin","7","137"
"13","Denmark","Jakob Sveistrup","%INLINEQ%Talking to You%INLINEQ%","English","9","125"
"14","Sweden","Martin Stenmarck","%INLINEQ%Las Vegas%INLINEQ%","English","19","30"
"15","Macedonia","Martin Vučić","%INLINEQ%Make My Day%INLINEQ%","English","17","52"
"16","Ukraine","GreenJolly","%INLINEQ%Razom nas bahato%INLINEQ% (Разом нас багато)","Ukrainian, English","19","30"
"17","Germany","Gracia","%INLINEQ%Run and Hide%INLINEQ%","English","24","4"
"18","Croatia","Boris Novković feat. Lado Members","%INLINEQ%Vukovi umiru sami%INLINEQ%","Croatian","11","115"
"19","Greece","Helena Paparizou","%INLINEQ%My Number One%INLINEQ%","English","1","230"
"20","Russia","Natalia Podolskaya","%INLINEQ%Nobody Hurt No One%INLINEQ%","English","15","57"
"21","Bosnia and Herzegovina","Feminnem","%INLINEQ%Call Me%INLINEQ%","English","14","79"
"22","Switzerland","Vanilla Ninja","%INLINEQ%Cool Vibes%INLINEQ%","English","8","128"
"23","Latvia","Walters & Kazha","%INLINEQ%The War Is Not Over%INLINEQ%","English","5","153"
"24","France","Ortal","%INLINEQ%Chacun pense à soi%INLINEQ%","French","23","11"
