"Draw","Country","Artist","Song","Language","Place","Points"
"01","Montenegro","Rambo Amadeus","%INLINEQ%Euro Neuro%INLINEQ%","English","15","20"
"02","Iceland","Greta Salóme and Jónsi","%INLINEQ%Never Forget%INLINEQ%","English","8","75"
"03","Greece","Eleftheria Eleftheriou","%INLINEQ%Aphrodisiac%INLINEQ%","English","4","116"
"04","Latvia","Anmary","%INLINEQ%Beautiful Song%INLINEQ%","English","16","17"
"05","Albania","Rona Nishliu","%INLINEQ%Suus%INLINEQ%","Albanian","2","146"
"06","Romania","Mandinga","%INLINEQ%Zaleilah%INLINEQ%","Spanish, English","3","120"
"07","Switzerland","Sinplus","%INLINEQ%Unbreakable%INLINEQ%","English","11","45"
"08","Belgium","Iris","%INLINEQ%Would You?%INLINEQ%","English","17","16"
"09","Finland","Pernilla Karlsson","%INLINEQ%När jag blundar%INLINEQ%","Swedish","12","41"
"10","Israel","Izabo","%INLINEQ%Time%INLINEQ%","English, Hebrew","13","33"
"11","San Marino","Valentina Monetta","%INLINEQ%The Social Network Song (Oh Oh – Uh - Oh Oh)%INLINEQ%","English","14","31"
"12","Cyprus","Ivi Adamou","%INLINEQ%La La Love%INLINEQ%","English","7","91"
"13","Denmark","Soluna Samay","%INLINEQ%Should've Known Better%INLINEQ%","English","9","63"
"14","Russia","Buranovskiye Babushki","%INLINEQ%Party for Everybody%INLINEQ%","Udmurt, English","1","152"
"15","Hungary","Compact Disco","%INLINEQ%Sound of Our Hearts%INLINEQ%","English","10","52"
"16","Austria","Trackshittaz","%INLINEQ%Woki mit deim Popo%INLINEQ%","German","18","8"
"17","Moldova","Pasha Parfeny","%INLINEQ%Lăutar%INLINEQ%","English","5","100"
"18","Ireland","Jedward","%INLINEQ%Waterline%INLINEQ%","English","6","92"
