"Round","Date","Opponent","Score AUFC - Away","Attendance","Weekday"
"1","13 October 2013","Perth Glory","3 – 1","10,320","Sunday"
"2","18 October 2013","Melbourne Victory","2 – 2","16,504","Friday"
"5","9 November 2013","Newcastle Jets","1 – 2","10,244","Saturday"
"9","6 December 2013","Brisbane Roar","1 – 2","8,861","Friday"
"10","14 December 2013","Central Coast Mariners","4 – 0","7,785","Saturday"
"12","29 December 2013","Newcastle Jets","1 – 0","10,778","Sunday"
"13","3 January 2014","Sydney FC","2 – 2","15,347","Friday"
"15","19 January 2014","Western Sydney Wanderers","1 – 0","11,365","Sunday"
"16","25 January 2014","Melbourne Heart","2 – 2","11,100","Saturday"
"19","14 February 2014","Central Coast Mariners","2 – 0","6,980","Thursday"
"21","2 March 2014","Wellington Phoenix","5 – 1","8,596","Sunday"
"24","21 March 2014","Sydney FC","3 – 1","14,212","Friday"
"26","4 April 2014","Melbourne Heart","2 – 2","13,845","Friday"
