"Rank","Heat","Name","Nationality","Time","Notes"
"1","1","Kerron Stewart","Jamaica","10.92","Q"
"2","4","Carmelita Jeter","United States","10.94","Q"
"3","3","Veronica Campbell-Brown","Jamaica","10.99","Q"
"4","4","Shelly-Ann Fraser","Jamaica","11.02","Q"
"5","4","Kelly-Ann Baptiste","Trinidad and Tobago","11.05","Q"
"6","2","Lauryn Williams","United States","11.06","Q, SB"
"6","1","Chandra Sturrup","Bahamas","11.06","Q"
"8","3","Debbie Ferguson-McKenzie","Bahamas","11.08","Q"
"9","2","Aleen Bailey","Jamaica","11.12","Q"
"10","3","Muna Lee","United States","11.13","Q, SB"
"11","2","Tahesia Harrigan","British Virgin Islands","11.21","Q"
"12","3","Verena Sailer","Germany","11.26","q"
"13","2","Vida Anim","Ghana","11.34","q"
"14","1","Semoy Hackett","Trinidad and Tobago","11.37","Q"
"14","2","Eleni Artymata","Cyprus","11.37","q, PB"
"16","2","Ayanna Hutchinson","Trinidad and Tobago","11.40","q"
"17","1","Guzel Khubbieva","Uzbekistan","11.43",""
"17","2","Chisato Fukushima","Japan","11.43",""
"19","4","Lucimar de Moura","Brazil","11.44",""
"19","1","Ezinne Okparaebo","Norway","11.44",""
"21","2","Myriam Soumaré","France","11.45",""
"22","3","Anna Geflikh","Russia","11.46",""
"23","3","Nataliya Pohrebnyak","Ukraine","11.49",""
"24","4","Virgil Hodge","Saint Kitts and Nevis","11.51",""
"24","3","Roqaya Al-Gassra","Bahrain","11.51",""
"26","1","Yevgeniya Polyakova","Russia","11.52",""
"27","1","Ivet Lalova","Bulgaria","11.54",""
"28","4","Oludamola Osayomi","Nigeria","11.55",""
"28","3","Sónia Tavares","Portugal","11.55",""
"30","4","Sheniqua Ferguson","Bahamas","11.59",""
"31","4","Marion Wagner","Germany","11.64",""
"32","1","Yomara Hinestroza","Colombia","11.76",""
