"Year","Attendance","Winner","","Runner-up","","Notes"
"1872","2,000","Wanderers","1","Royal Engineers","0",""
"1874","2,000","Oxford University","2","Royal Engineers","0",""
"1875","3,000","Royal Engineers","1","Old Etonians","1",""
"Replay","3,000","Royal Engineers","2","Old Etonians","0",""
"1876","3,500","Wanderers","1","Old Etonians","1",""
"Replay","1,500","Wanderers","3","Old Etonians","0",""
"1877","3,000","Wanderers","2","Oxford University","1",""
"1878","4,500","Wanderers","3","Royal Engineers","1",""
"1879","5,000","Old Etonians","1","Clapham Rovers","0",""
"1880","6,000","Clapham Rovers","1","Oxford University","0",""
"1881","4,500","Old Carthusians","3","Old Etonians","0",""
"1882","6,500","Old Etonians","1","Blackburn Rovers","0",""
"1883","8,000","Blackburn Olympic","2","Old Etonians","1",""
"1884","12,000","Blackburn Rovers","2","Queen's Park","1",""
"1885","12,500","Blackburn Rovers","2","Queen's Park","0",""
"1886","15,000","Blackburn Rovers","0","West Bromwich Albion","0","2–0 in the replay at the Racecourse Ground, Derby"
"1887","15,500","Aston Villa","2","West Bromwich Albion","0",""
"1888","19,000","West Bromwich Albion","2","Preston North End","1",""
"1889","22,000","Preston North End","3","Wolverhampton Wanderers","0",""
"1890","20,000","Blackburn Rovers","6","Sheffield Wednesday","1",""
"1891","23,000","Blackburn Rovers","3","Notts County","1",""
"1892","32,810","West Bromwich Albion","3","Aston Villa","0",""
