"Artist","Single","Released","Sales (in millions)","Source"
"DJ Khaled","%INLINEQ%I'm the One%INLINEQ%","2017","7.9",""
"Rihanna featuring Mikky Ekko","%INLINEQ%Stay%INLINEQ%","2013","7.9",""
"Imagine Dragons","%INLINEQ%Believer%INLINEQ%","2017","7.8",""
"Lady Gaga","%INLINEQ%Just Dance%INLINEQ%","2008","7.7",""
"Leona Lewis","%INLINEQ%Bleeding Love%INLINEQ%","2008","7.7",""
"Greeeen","%INLINEQ%Kiseki%INLINEQ%","2008","7.6",""
"Lady Gaga featuring Beyoncé","%INLINEQ%Telephone%INLINEQ%","2010","7.4",""
"Black Eyed Peas","%INLINEQ%The Time (Dirty Bit)%INLINEQ%","2010","7.3",""
"Avril Lavigne","%INLINEQ%Girlfriend%INLINEQ%","2007","7.3",""
"Michel Teló","%INLINEQ%Ai Se Eu Te Pego%INLINEQ%","2011","7.2",""
"Nicki Minaj","%INLINEQ%Starships%INLINEQ%","2012","7.2",""
"Exile","%INLINEQ%Lovers Again%INLINEQ%","2007","7",""
"Hilcrhyme","%INLINEQ%Shunkashūtō%INLINEQ%","2009","7",""
