"Number","Photo","Builder's Number","Current Owner","Notes"
"480","-","58558","D&SNG","Retired 1970 Went to Durango and Silverton Narrow Gauge Railroad in March 1981. Operational"
"481","-","58559","D&SNG","Went to Durango and Silverton Narrow Gauge Railroad in March 1981 and was the first K-36 run to Silverton. Operational"
"482","-","58541","D&SNG","Retired 1962 Went to Cumbres and Toltec Scenic Railroad in 1970 Traded to Durango and Silverton Narrow Gauge Railroad in October 1991."
"483","-","58584","C&TS","Went to Cumbres and Toltec Scenic Railroad in 1970, removed from service in 1977. Almost swapped out with K-28 class 478 in 2015 from the Durango and Silverton Narrow Gauge Railroad 483 also hauled the last scheduled passenger train on the Denver and Rio Grande Western Railroad on May 29, 1965."
"484","-","58585","C&TS","Went to Cumbres and Toltec Scenic Railroad in 1970. Operational"
"485","-","58586","N/A","Crashed in the turn table pit in Salida. Due to severe injuries, 485 couldn't be saved, and was scrapped on January 24, 1955."
"486","-","58587","D&SNG","Retired 1962 Went to Royal Gorge Park for display in December 1967 Went to Durango and Silverton Narrow Gauge Railroad in May 1999."
"487","-","58588","C&TS","Went to Cumbres and Toltec Scenic Railroad in 1970. Operational"
"488","-","58589","C&TS","Went to Cumbres and Toltec Scenic Railroad in 1970. Operational"
"489","Chama K-36-Steam-locomotive-489 2012-10-24.JPG","58590","C&TS","Retired 1962 Went to Cumbres and Toltec Scenic Railroad in 1970. Operational K-36 489"
