"Grid","No.","Driver","Manufacturer","Speed","Owner"
"1","22","Fireball Roberts","'62 Pontiac","130.246","Jim Stephens"
"2","3","Junior Johnson","'62 Pontiac","129.049","Ray Fox"
"3","28","Fred Lorenzen","'62 Ford","127.898","Holman-Moody"
"4","72","Bobby Johns","'62 Pontiac","127.758","Shorty Johns"
"5","8","Joe Weatherly","'62 Pontiac","127.454","Bud Moore"
"6","43","Richard Petty","'62 Plymouth","127.143","Petty Enterprises"
"7","6","David Pearson","'62 Pontiac","127.077","Cotton Owens"
"8","21","Marvin Panch","'62 Ford","127.012","Wood Brothers"
"9","46","Johnny Allen","'62 Pontiac","128.671","Fred Lovette"
"10","66","Larry Frank","'62 Ford","127.601","Ratus Walters"
