"Tenure","Coach","Years","Record","Pct."
"1897–1906","Frederick M. Irish","8","12–8",".600"
"1914–1916","George Schaeffer","3","7–8",".467"
"1919","George E. Cooper","1","0–2",".000"
"1922","Ernest C. Wills","1","0–3–1",".125"
"1923–1929","Aaron McCreary","7","25–17–4",".587"
"1930–1932","Ted Shipkey","3","12–10–2",".542"
"1933–1937","Rudy Lavik","5","13–26–3",".345"
"1938–1941","Dixie Howell","4","23–15–4",".595"
"1942","Hilman Walker","1","2–8",".200"
"1946","Steve Coutchie","1","2–7–2",".273"
"1947–1950","Ed Doherty","4","25–17",".595"
"1951","Larry Siemering","1","6–3–1",".650"
"1952–1954","Clyde Smith","3","15–13–1",".534"
"1955–1957","Dan Devine","3","27–3–1",".887"
"1958–1979","Frank Kush","22","176–54–1",".764"
"1979","Bob Owens","1","3–4",".429"
"1980–1984","Darryl Rogers","5","37–18–1",".670"
"1985–1987","John Cooper","3","25–9–2",".722"
"1988–1991","Larry Marmie","4","22–21–1",".511"
"1992–2000","Bruce Snyder","9","58–47",".552"
"2001–2006","Dirk Koetter","6","40–34",".541"
"2007–2011","Dennis Erickson","5","31–31",".500"
"2012–2017","Todd Graham","6","46–32",".590"
"2018–present","Herm Edwards","1","7–5",".583"
