"Draw","Country","Artist","Song","Language","Place","Points"
"01","Latvia","Justs","%INLINEQ%Heartbeat%INLINEQ%","English","8","132"
"02","Poland","Michał Szpak","%INLINEQ%Color of Your Life%INLINEQ%","English","6","151"
"03","Switzerland","Rykka","%INLINEQ%The Last of Our Kind%INLINEQ%","English","18","28"
"04","Israel","Hovi Star","%INLINEQ%Made of Stars%INLINEQ%","English","7","147"
"05","Belarus","Ivan","%INLINEQ%Help You Fly%INLINEQ%","English","12","84"
"06","Serbia","Sanja Vučić ZAA","%INLINEQ%Goodbye (Shelter)%INLINEQ%","English","10","105"
"07","Ireland","Nicky Byrne","%INLINEQ%Sunlight%INLINEQ%","English","15","46"
"08","Macedonia","Kaliopi","%INLINEQ%Dona%INLINEQ% (Дона)","Macedonian","11","88"
"09","Lithuania","Donny Montell","%INLINEQ%I've Been Waiting for This Night%INLINEQ%","English","4","222"
"10","Australia","Dami Im","%INLINEQ%Sound of Silence%INLINEQ%","English","1","330"
"11","Slovenia","ManuElla","%INLINEQ%Blue and Red%INLINEQ%","English","14","57"
"12","Bulgaria","Poli Genova","%INLINEQ%If Love Was a Crime%INLINEQ%","English, Bulgarian","5","220"
"13","Denmark","Lighthouse X","%INLINEQ%Soldiers of Love%INLINEQ%","English","17","34"
"14","Ukraine","Jamala","%INLINEQ%1944%INLINEQ%","English, Crimean Tatar","2","287"
"15","Norway","Agnete","%INLINEQ%Icebreaker%INLINEQ%","English","13","63"
"16","Georgia","Nika Kocharov & Young Georgian Lolitaz","%INLINEQ%Midnight Gold%INLINEQ%","English","9","123"
"17","Albania","Eneda Tarifa","%INLINEQ%Fairytale%INLINEQ%","English","16","45"
"18","Belgium","Laura Tesoro","%INLINEQ%What's the Pressure%INLINEQ%","English","3","274"
