"Draw","State","Artist","Song","English translation","Place","Points"
"01","Hesse","Fräulein Wunder","%INLINEQ%Sternradio%INLINEQ%","Star radio","6","53"
"02","Saarland","P:lot (de)","%INLINEQ%Mein Name ist%INLINEQ%","My name is","14","21"
"03","Mecklenburg-Vorpommern","Marteria","%INLINEQ%Zum König geboren%INLINEQ%","Born to be king","12","23"
"04","Saxony-Anhalt","Angela's Park (de)","%INLINEQ%Generation Monoton%INLINEQ%","Generation Monotone","16","10"
"05","North Rhine-Westphalia","Rage","%INLINEQ%Gib dich nie auf%INLINEQ%","Never give yourself up","3","112"
"06","Thuringia","Chapeau Claque (de)","%INLINEQ%Pandora (Kiss Miss Tragedy)%INLINEQ%","—","6","53"
"07","Brandenburg","Sven van Thom (de)","%INLINEQ%Jaqueline (ich hab Berlin gekauft)%INLINEQ%","Jaqueline (I've bought Berlin)","9","37"
"08","Bavaria","Claudia Koreck (de)","%INLINEQ%I wui dass du woasst%INLINEQ%","I want you to know","10","34"
"09","Schleswig-Holstein","Ruben Cossani (de)","%INLINEQ%Bis auf letzte Nacht%INLINEQ%","Except for last night","8","44"
"10","Lower Saxony","Fotos","%INLINEQ%Du fehlst mir%INLINEQ%","I'm missing you","15","12"
"11","Bremen","Flowin Immo et les Freaqz (de)","%INLINEQ%Urlaub am Attersee%INLINEQ%","Holidays on the Attersee","11","25"
"12","Rhineland-Palatinate","Pascal Finkenauer (de)","%INLINEQ%Unter Grund%INLINEQ%","Underground","12","23"
"13","Saxony","Polarkreis 18","%INLINEQ%The Colour of Snow%INLINEQ%","—","2","131"
"14","Baden-Württemberg","Cassandra Steen","%INLINEQ%Darum leben wir%INLINEQ%","That's why we live","4","103"
"15","Hamburg","Olli Schulz","%INLINEQ%Mach den Bibo (de)%INLINEQ%","Do the Big Bird","5","73"
"16","Berlin","Peter Fox","%INLINEQ%Schwarz zu blau%INLINEQ%","Black to blue","1","174"
