"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Ohio State","Woody Hayes","#2","#2","8–0–1","4–2","24.6","9.2","Bob Ferguson"
"2","Minnesota","Murray Warmath","#6","#3","8–2","6–1","16.8","7.8","Sandy Stephens"
"3","Michigan State","Duffy Daugherty","#8","#1","7–2","5–2","21.3","5.6","George Saimes"
"4","Purdue","Jack Mollenkopf","#12","#7","6–3","4–2","16.2","9.7","Jack Elwell"
"5","Wisconsin","Milt Bruhn","NR","NR","6–4","4–3","19.9","17.6","Ron Miller"
"6","Michigan","Bump Elliott","NR","#6","6–3","3–3","23.6","18.1","John Walker"
"7 (tie)","Iowa","Jerry Burns","NR","#1","5–4","2–4","23.9","18.0","Al Hinton"
"7 (tie)","Northwestern","Ara Parseghian","NR","NR","4–5","2–4","14.6","11.7","Boyd Melvin"
"9","Indiana","Phil Dickens","NR","NR","2–7","0–6","10.7","18.0","Byron Broome"
"10","Illinois","Pete Elliott","NR","NR","0–9","0–7","5.9","32.1","Tony Parrilli"
