"Conf. Rank","Team","Head coach","Overall record","Conf. record","PPG","PAG"
"1 (tie)","Illinois","Robert Zuppke","8–0","5–0","17.0","2.5"
"1 (tie)","Michigan","Fielding H. Yost","8–0","4–0","18.8","1.5"
"3","Chicago","Amos A. Stagg","7–1","5–1","16.8","2.8"
"4","Minnesota","William H. Spaulding","5-1-1","3-1-1","16.3","8.6"
"5","Iowa","Howard Jones","5–3","3–3","15.5","6.9"
"6","Indiana","Bill Ingram","3–4","2–2","6.9","16.7"
"7","Wisconsin","John J. Ryan","3–3–1","1–3–1","12.7","4.6"
"8","Ohio State","John Wilce","3–4–1","1–4","15.5","12.4"
"9","Purdue","James Phelan","2–5–1","1–4","8.1","13.3"
"10","Northwestern","Glenn Thistlethwaite","2–6","0–6","14.6","7.0"
