"Ship","Built","Rehabilitated","Speed (kn)","Passengers","Cargo (t)","Lake served"
"MV Butiama","1980","–","12.5","200","100","Victoria"
"MV Clarias","1961","1993","10.5","290","10","Victoria"
"MV Iringa","1974","1988","10","139","5","Nyasa"
"MV Liemba","1913","1993","10.5","600","200","Tanganyika"
"ML Maindi","1938","1972","8","–","120","Victoria"
"MV Mwongozo","1982","1992","11","800","80","Tanganyika"
"MT Nyangumi","1958","1995","9","–","350","Victoria"
"MT Sangara","1981","–","9","–","350","Tanganyika"
"MV Serengeti","1988","–","9.5","593","350","Victoria"
"MV Songea","1974","1994","10","212","40","Nyasa"
"MV Umoja","1964","–","11","–","1,200","Victoria"
"MT Ukerewe","1938","1972","–","–","740","Victoria"
"MV Victoria","1960","1989","12.5","1,200","200","Victoria"
"ML Wimbi","1938","1972","8","–","120","Victoria"
