"Artist","Single","Released","Sales (in millions)","Source"
"Gloria Gaynor","%INLINEQ%I Will Survive%INLINEQ%","1978","14",""
"Scorpions","%INLINEQ%Wind of Change%INLINEQ%","1991","14",""
"Kyu Sakamoto","%INLINEQ%Sukiyaki%INLINEQ%","1963","13",""
"Trio","%INLINEQ%Da Da Da%INLINEQ%","1982","13",""
"Gene Autry","%INLINEQ%Rudolph the Red-Nosed Reindeer%INLINEQ%","1949","12.5",""
"The Beatles","%INLINEQ%I Want to Hold Your Hand%INLINEQ%","1963","12",""
"Andrea Bocelli and Sarah Brightman","%INLINEQ%Time to Say Goodbye%INLINEQ%","1996","12",""
"Village People","%INLINEQ%Y.M.C.A.%INLINEQ%","1978","12",""
"Band Aid","%INLINEQ%Do They Know It's Christmas?%INLINEQ%","1984","11.7",""
"Cher","%INLINEQ%Believe%INLINEQ%","1998","11",""
"Carl Douglas","%INLINEQ%Kung Fu Fighting%INLINEQ%","1974","11",""
"George McCrae","%INLINEQ%Rock Your Baby%INLINEQ%","1974","11",""
"Mills Brothers","%INLINEQ%Paper Doll%INLINEQ%","1943","11",""
"Roger Whittaker","%INLINEQ%The Last Farewell%INLINEQ%","1975","11",""
"ABBA","%INLINEQ%Fernando%INLINEQ%","1976","10",""
"Roy Acuff","%INLINEQ%Wabash Cannonball%INLINEQ%","1942","10",""
"Paul Anka","%INLINEQ%Diana%INLINEQ%","1957","10",""
"Toni Braxton","%INLINEQ%Un-Break My Heart%INLINEQ%","1996","10",""
"George Harrison","%INLINEQ%My Sweet Lord%INLINEQ%","1970","10",""
"Los del Río","%INLINEQ%Macarena%INLINEQ%","1995","10",""
"Middle of the Road","%INLINEQ%Chirpy Chirpy Cheep Cheep%INLINEQ%","1971","10",""
"The Monkees","%INLINEQ%I'm a Believer%INLINEQ%","1966","10",""
"Panjabi MC","%INLINEQ%Mundian To Bach Ke%INLINEQ%","1998","10",""
"Patti Page","%INLINEQ%Tennessee Waltz%INLINEQ%","1950","10",""
"The Penguins","%INLINEQ%Earth Angel%INLINEQ%","1954","10",""
"Elvis Presley","%INLINEQ%Hound Dog%INLINEQ%","1956","10",""
"Procol Harum","%INLINEQ%A Whiter Shade of Pale%INLINEQ%","1967","10",""
"Britney Spears","%INLINEQ%...Baby One More Time%INLINEQ%","1998","10",""
