"Draw","Country","Artist","Song","Language","Place","Points"
"01","Serbia","Lena Stamenković",""Lenina pesma" (Ленина песма)","Serbian","7","79"
"02","Georgia","The Virus",""Gabede" (გაბედე)","Georgian","10","51"
"03","Slovenia","Lina Kuduzović",""Prva ljubezen"","Slovene, English","3","112"
"04","Italy","Chiara & Martina",""Viva"","Italian","16","34"
"05","Netherlands","Shalisa",""Million Lights"","Dutch, English","15","35"
"06","Australia","Bella Paige",""My Girls"","English","8","64"
"07","Ireland","Aimee Banks",""Réalta na Mara"","Irish","12","36"
"08","Russia","Mikhail Smirnov",""Mechta (Dream)" (Мечта)","Russian, English","6","80"
"09","Macedonia","Ivana Petkovska & Magdalena Aleksovska",""Pletenka – Braid of Love" (Плетенка)","Macedonian","17","26"
"10","Belarus","Ruslan Aslanov",""Volshebstvo (Magic)" (Волшебство)","Russian, English","4","105"
"11","Armenia","Mika",""Love"","Armenian, English","2","176"
"12","Ukraine","Anna Trincher",""Pochny z sebe - Start with Yourself" (Почни з себе)","Ukrainian, English","11","38"
"13","Bulgaria","Gabriela Yordanova & Ivan Stoyanov",""Colour of Hope"","Bulgarian","9","62"
"14","San Marino","Kamilla Ismailova",""Mirror"","Italian, English","14","36"
"15","Malta","Destiny Chukunyere",""Not My Soul"","English","1","185"
"16","Albania","Mishela Rapo",""Dambaje"","Albanian, English, Imaginary","5","93"
"17","Montenegro","Jana Mirković",""Oluja"","Montenegrin","13","36"
