"No.","Score","Player","Team","Balls","Inns.","Opposing team","Date","Result"
"1","151","Marcus Trescothick","England","148","2","Bangladesh","3 June 2005","Won"
"2","162*","Ian Bell (1/2)","England","168","2","Bangladesh","3 June 2005","Won"
"3","136*","Shivnarine Chanderpaul","West Indies","257","1","England","15 June 2007","Won"
"4","128","Paul Collingwood","England","188","2","West Indies","15 June 2007","Won"
"5","160","Alastair Cook","England","339","1","West Indies","14 May 2009","Won"
"6","108","Ravi Bopara","England","208","1","West Indies","14 May 2009","Won"
"7","100","Ramnaresh Sarwan","West Indies","138","2","England","14 May 2009","Won"
"8","110","Chris Rogers","Australia","250","2","England","9 August 2013","Won"
"9","113","Ian Bell (2/2)","Australia","210","2","England","9 August 2013","Won"
"10","155*","Moeen Ali","England","207","1","Sri Lanka","27 May 2016","Won"
"11","126","Dinesh Chandimal","Sri Lanka","207","3","England","27 May 2016","Lost"
