"#","Event year","Season","Flag bearer","Sport"
"30","2018","Winter","Bindilatti, EdsonEdson Bindilatti","Bobsleigh"
"29","2016","Summer","Marques, YaneYane Marques","Modern pentathlon"
"28","2014","Winter","Mourão, JaquelineJaqueline Mourão","Biathlon / cross-country skiing"
"27","2012","Summer","Pessoa, RodrigoRodrigo Pessoa","Equestrian"
"26","2010","Winter","Clark Ribeiro, IsabelIsabel Clark Ribeiro","Snowboarding"
"25","2008","Summer","Scheidt, RobertRobert Scheidt","Sailing"
"24","2006","Winter","Clark Ribeiro, IsabelIsabel Clark Ribeiro","Snowboarding"
"23","2004","Summer","Grael, TorbenTorben Grael","Sailing"
"22","2002","Winter","Arnhold, MirellaMirella Arnhold","Alpine skiing"
"21","2000","Summer","Pires, SandraSandra Pires","Volleyball"
"20","1998","Winter","Apovian, MarceloMarcelo Apovian","Alpine skiing"
"19","1996","Summer","Cruz, JoaquimJoaquim Cruz","Athletics"
"18","1994","Winter","Munder, Lothar ChristianLothar Christian Munder","Alpine skiing"
"17","1992","Summer","Miguel, AurélioAurélio Miguel","Judo"
"16","1992","Winter","Egger, HansHans Egger","Alpine skiing"
"15","1988","Summer","Carmona, WalterWalter Carmona","Judo"
"14","1984","Summer","de Souza, EduardoEduardo de Souza","Sailing"
"13","1980","Summer","de Oliveira, João CarlosJoão Carlos de Oliveira","Athletics"
"12","1976","Summer","de Oliveira, João CarlosJoão Carlos de Oliveira","Athletics"
"11","1972","Summer","Menon, Luiz CláudioLuiz Cláudio Menon","Basketball"
"10","1968","Summer","Filho, João GonçalvesJoão Gonçalves Filho","Water polo"
"9","1964","Summer","Marques, WlamirWlamir Marques","Basketball"
"8","1960","Summer","da Silva, Adhemar FerreiraAdhemar Ferreira da Silva","Athletics"
"7","1956","Summer","da Silva, Adhemar FerreiraAdhemar Ferreira da Silva","Athletics"
"6","1952","Summer","da Fonseca Hermes, Mário JorgeMário Jorge da Fonseca Hermes","Basketball"
"5","1948","Summer","de Magalhães Padilha, SylvioSylvio de Magalhães Padilha","Athletics"
"4","1936","Summer","Lira, AntônioAntônio Lira","Athletics"
"3","1932","Summer","de Castro, LúcioLúcio de Castro","Athletics"
"2","1924","Summer","Gomes, AlfredoAlfredo Gomes","Athletics"
"1","1920","Summer","da Costa, AfrânioAfrânio da Costa","Shooting"
