"Tournament","Year","Winner","Total won","Reference"
"World League","1974","Antonio Inoki","1",""
"World League","1975","Antonio Inoki","2",""
"World League","1976","Seiji Sakaguchi","1",""
"World League","1977","Seiji Sakaguchi","2",""
"MSG League","1978","Antonio Inoki","3",""
"MSG League","1979","Antonio Inoki","4",""
"MSG League","1980","Antonio Inoki","5",""
"MSG League","1981","Antonio Inoki","6",""
"MSG League","1982","André the Giant","1",""
"International Wrestling Grand Prix","1983","Hulk Hogan","1",""
"International Wrestling Grand Prix","1984","Antonio Inoki","7",""
"International Wrestling Grand Prix","1985","André the Giant","2",""
"International Wrestling Grand Prix","1986","Antonio Inoki","8",""
"International Wrestling Grand Prix","1987","Antonio Inoki","9",""
"International Wrestling Grand Prix","1988","Antonio Inoki","10",""
"World Cup Tournament","1989","Riki Choshu","1",""
"G1 Climax","1991","Masahiro Chono","1",""
"G1 Climax","1992","Masahiro Chono","2",""
"G1 Climax","1993","Tatsumi Fujinami","1",""
"G1 Climax","1994","Masahiro Chono","3",""
"G1 Climax","1995","Keiji Mutoh","1",""
"G1 Climax","1996","Riki Choshu","2",""
"G1 Climax","1997","Kensuke Sasaki","1",""
"G1 Climax","1998","Shinya Hashimoto","1",""
"G1 Climax","1999","Manabu Nakanishi","1",""
"G1 Climax","2000","Kensuke Sasaki","2",""
"G1 Climax","2001","Yuji Nagata","1",""
"G1 Climax","2002","Masahiro Chono","4",""
"G1 Climax","2003","Hiroyoshi Tenzan","1",""
"G1 Climax","2004","Hiroyoshi Tenzan","2",""
"G1 Climax","2005","Masahiro Chono","5",""
"G1 Climax","2006","Hiroyoshi Tenzan","3",""
"G1 Climax","2007","Hiroshi Tanahashi","1",""
"G1 Climax","2008","Hirooki Goto","1",""
"G1 Climax","2009","Togi Makabe","1",""
"G1 Climax","2010","Satoshi Kojima","1",""
"G1 Climax","2011","Shinsuke Nakamura","1",""
"G1 Climax","2012","Kazuchika Okada","1",""
"G1 Climax","2013","Tetsuya Naito","1",""
"G1 Climax","2014","Kazuchika Okada","2",""
"G1 Climax","2015","Hiroshi Tanahashi","2",""
"G1 Climax","2016","Kenny Omega","1",""
"G1 Climax","2017","Tetsuya Naito","2",""
"G1 Climax","2018","Hiroshi Tanahashi","3",""
