"Year","Date","Winner","Result","Loser","Attendance","Location","Series Record"
"2010","Monday, September 27","Chicago Bears","20–17","Green Bay Packers","62,179","Chicago","Bears 92–82–6"
"2011","Sunday, January 2","Green Bay Packers","10–3","Chicago Bears","70,833","Green Bay","Bears 92–83–6"
"2011","Sunday, January 23*","Green Bay Packers","21–14","Chicago Bears","62,377","Chicago","Bears 92–84–6"
"2011","Sunday, September 25","Green Bay Packers","27–17","Chicago Bears","62,339","Chicago","Bears 92–85–6"
"2011","Sunday, December 25","Green Bay Packers","35–21","Chicago Bears","70,574","Green Bay","Bears 92–86–6"
"2012","Thursday, September 13","Green Bay Packers","23–10","Chicago Bears","70,543","Green Bay","Bears 92–87–6"
"2012","Sunday, December 16","Green Bay Packers","21–13","Chicago Bears","62,534","Chicago","Bears 92–88–6"
"2013","Monday, November 4","Chicago Bears","27–20","Green Bay Packers","78,122","Green Bay","Bears 93–88–6"
"2013","Sunday, December 29","Green Bay Packers","33–28","Chicago Bears","62,708","Chicago","Bears 93–89–6"
"2014","Sunday, September 28","Green Bay Packers","38–17","Chicago Bears","61,736","Chicago","Bears 93–90–6"
"2014","Thursday, November 6","Green Bay Packers","55–14","Chicago Bears","78,292","Green Bay","Bears 93–91–6"
"2015","Sunday, September 13","Green Bay Packers","31–23","Chicago Bears","62,442","Chicago","Bears 93–92–6"
"2015","Thursday, November 26","Chicago Bears","17–13","Green Bay Packers","78,488","Green Bay","Bears 94–92–6"
"2016","Thursday, October 20","Green Bay Packers","26–10","Chicago Bears","78,217","Green Bay","Bears 94–93–6"
"2016","Sunday, December 18","Green Bay Packers","30–27","Chicago Bears","61,137","Chicago","Tied 94–94–6"
"2017","Thursday, September 28","Green Bay Packers","35–14","Chicago Bears","72,928","Green Bay","Packers 95–94–6"
"2017","Sunday, November 12","Green Bay Packers","23–16","Chicago Bears","55,661","Chicago","Packers 96–94–6"
"2018","Sunday, September 9","Green Bay Packers","24–23","Chicago Bears","78,282","Green Bay","Packers 97–94–6"
"2018","Sunday, December 16","Chicago Bears","24–17","Green Bay Packers","62,372","Chicago","Packers 97–95–6"
