"Rank","Newspaper","Headquarters","Language","Jan–Jun 2018"
"1","Dainik Bhaskar","Bhopal","Hindi","4,318,377"
"2","Dainik Jagran","Kanpur","Hindi","4,144,706"
"3","The Times of India","Mumbai","English","2,826,164"
"4","Hindustan Dainik","New Delhi","Hindi","2,625,343"
"5","Amar Ujala","Noida","Hindi","2,610,784"
"6","Malayala Manorama","Kottayam","Malayalam","2,368,672"
"7","Eenadu","Hyderabad","Telugu","1,807,998"
"8","Dina Thanthi","Chennai","Tamil","1,525,526"
"9","The Hindu","Chennai","English","1,397,944"
"10","Mathrubhumi","Kozhikode","Malayalam","1,363,931"
"11","Sakal","Pune","Marathi","1,204,640"
"12","Punjab Kesari","Jalandhar","Hindi","1,165,506"
"13","Sakshi","Hyderabad","Telugu","1,091,079"
"14","Ananda Bazar Patrika","Kolkata","Bengali","1,080,478"
"15","Patrika","Hindi","Hindi","1,005,485"
"15","Hindustan Times","English","English","1,004,110"
"17","Dinamalar","Tamil","Tamil","848,287"
"18","Prabhat Khabar","Kolkata","Hindi","829,982"
"19","Divya Bhaskar","Gujarat","Gujarati","822,513"
"20","Vijayavani","Karnatak","Kannada","760,738"
