"Year","Winner","Age","Jockey","Trainer","Owner","Time"
"2017","Aldous Snow","8","Eurico Rosa Da Silva","Malcolm Pierce","Sam-Son Farm","2:27.42"
"2016","Danish Dynaformer","4","Patrick Husbands","Roger L. Attfield","Charles E. Fipke","2:27.20"
"2015","Aldous Snow","6","Eurico Rosa Da Silva","Malcolm Pierce","Sam-Son Farm","2:27.55"
"2014","Aldous Snow","5","Javier Castellano","Malcolm Pierce","Sam-Son Farm","2:28.85"
"2013","Forte Dei Marmi","7","Joel Rosario","Roger L. Attfield","Stella Perdomo","2:41.85"
"2012","Musketier","10","Ramon Dominguez","Roger L. Attfield","Stella Perdomo","2:28.07"
"2011","Musketier","9","John Velazquez","Roger L. Attfield","Stella Perdomo","2:29.54"
"2010","Spice Route","6","Mike E. Smith","Roger L. Attfield","Harlequin Ranches","2:27.74"
"2009","Musketier","7","Jono Jones","Roger L. Attfield","Johanna Louise Glen-Teven","2:27.41"
"2008","Mission Approved","4","Ramon Dominguez","Gary Contessa","William F. Coyro, Jr.","2:30.63"
"2007","Pellegrino","8","Jono Jones","Roger L. Attfield","Gary A. Tanaka","2:27.79"
"2006","Jambalaya","4","Jono Jones","Catherine Day Phillips","Todd & Catherine D. Phillips","2:27.15"
"2005","Daddy Cool","7","Jim McAleney","Sean Smullen","Stronach Stables","2:27.66"
