"Rank","Name","Country","B.weight (kg)","Snatch (kg)","Clean & Jerk (kg)","Total (kg)"
"","Augustina Nwaokolo","Nigeria","47.32","77","98","175 GR"
"","Sonya Chanu","India","47.71","73","94","167"
"","Sandyha Atom","India","47.73","70","95","165"
"4","Zaira Zakaria","Malaysia","47.95","75","90","165"
"5","Vivian Lee","Australia","47.66","69","91","160"
"6","Portia Vries","South Africa","47.36","66","90","156"
"7","Kathleen Hare","Papua New Guinea","46.80","64","83","147"
"8","Kathsia Telemaque","Seychelles","47.94","65","80","145"
"9","Molla Shabira","Bangladesh","47.69","66","75","141"
"–","Erika Yamasaki","Australia","47.90","73","–","DNF"
