"","Name","First","Year","Second","Year","Third","Year"
"-","Jeff Beck","The Yardbirds","1992","Solo career","2009","—","—"
"","Johnny Carter","The Flamingos","2001","The Dells","2004","—","—"
"-","Eric Clapton","The Yardbirds","1992","Cream","1993","Solo career","2000"
"-","David Crosby","The Byrds","1991","Crosby, Stills & Nash","1997","—","—"
"-","Peter Gabriel","Genesis","2010","Solo career","2014","—","—"
"-","George Harrison","The Beatles","1988","Solo career","2004","—","—"
"-","Michael Jackson","The Jackson Five","1997","Solo career","2001","—","—"
"-","John Lennon","The Beatles","1988","Solo career","1994","—","—"
"-","Curtis Mayfield","The Impressions","1991","Solo career","1999","—","—"
"-","Paul McCartney","The Beatles","1988","Solo career","1999","—","—"
"Clyde McPhatter 1959.JPG","Clyde McPhatter","Solo career","1987","The Drifters","1988","—","—"
"-","Graham Nash","Crosby, Stills & Nash","1997","The Hollies","2010","—","—"
"-","Stevie Nicks","Fleetwood Mac","1998","Solo career","2019","—","—"
"-","Jimmy Page","The Yardbirds","1992","Led Zeppelin","1995","—","—"
"-","Lou Reed","The Velvet Underground","1996","Solo career","2015","—","—"
"-","Gregg Rolie","Santana","1998","Journey","2017","—","—"
"-","Paul Simon","Simon and Garfunkel","1990","Solo career","2001","—","—"
"-","Ringo Starr","The Beatles","1988","Award For Musical Excellence, Solo career","2015","—","—"
"-","Rod Stewart","Solo career","1994","Faces","2012","—","—"
"-","Stephen Stills","Buffalo Springfield","1997","Crosby, Stills & Nash","1997","—","—"
"","Sammy Strain","The O'Jays","2005","Little Anthony & The Imperials","2009","—","—"
"-","Ronnie Wood","The Rolling Stones","1989","Faces","2012","—","—"
"-","Neil Young","Solo career","1995","Buffalo Springfield","1997","—","—"
