"Code","km/h","mph","","Code","km/h","mph"
"A1","5","3","","L","120","75"
"A2","10","6","","M","130","81"
"A3","15","9","","N","140","87"
"A4","20","12","","P","150","94"
"A5","25","16","","Q","160","100"
"A6","30","19","","R","170","106"
"A7","35","22","","S","180","112"
"A8","40","25","","T","190","118"
"B","50","31","","U","200","124"
"C","60","37","","H","210","130"
"D","65","40","","V","240","149"
"E","70","43","","Z","over 240","over 149"
"F","80","50","","W","270","168"
"G","90","56","","(W)","over 270","over 168"
"J","100","62","","Y","300","186"
"K","110","68","","(Y)","over 300","over 186"
