"Tenure","Coach","Years","Record","Pct."
"1890","Robert Winston","1","8–3",".727"
"1891","William Galbraith","1","4–6",".400"
"1892","Jordan C. Wells","1","0–8–1",".056"
"1894","George H. Bond","1","6–5",".545"
"1895–1896","George O. Redington","2","11–5–4",".650"
"1897–1899","Frank E. Wade","3","17–9–2",".643"
"1900–1902","Edwin R. Sweetland","3","20–5–2",".778"
"1903","Jason B. Parish & Ancil D. Brown","1","5–4",".556"
"1904–1905","Charles P. Hutchins","2","14–6",".700"
"1906–1907 1913–1915 1917–1919","Frank %INLINEQ%Buck%INLINEQ% O'Neill*","8","52–19–6",".714"
"1908","Howard Jones*","1","6–3–1",".650"
"1909–1910","Tad Jones*","2","9–9–2",".500"
"1911–1912","C. DeForest Cummings","2","9–8–2",".526"
"1913","Bill Hollenback*","1","5–4",".556"
"1920–1924","Chick Meehan","5","35–8–4",".787"
"1925–1926","Pete Reynolds","2","15–3–2",".800"
"1927–1929","Lew Andreas","3","15–10–3",".589"
"1930–1936","Vic Hanson*","7","33–21–5",".602"
"1937–1942 1944–1945","Ossie Solem","8","30–27–6",".524"
"1946","Clarence Munn*","1","4–5",".444"
"1947–1948","Reaves Baysinger","2","4–14",".286"
"1949–1973","Ben Schwartzwalder*","25","153–91–3",".626"
"1974–1980","Frank Maloney","7","32–46",".410"
"1981–1990","Dick MacPherson*","10","66–46–4",".586"
"1991–2004","Paul Pasqualoni","14","107–59–1",".644"
"2005–2008","Greg Robinson","4","10–37",".213"
"2009–2012","Doug Marrone","4","25–25",".500"
"2013–2015","Scott Shafer","3","14–23",".378"
"2016–current","Dino Babers","3","18–19",".486"
