"Draw","Country","Artist","Song","Language","Place","Points"
"01","Finland","Carita",""Keep Me Warm"","English","13","4"
"02","United Kingdom","Olivia Newton-John",""Long Live Love"","English","4","14"
"03","Spain","Peret",""Canta y sé feliz"","Spanish","9","10"
"04","Norway","Anne-Karine Strøm feat. Bendik Singers",""The First Day of Love"","English","14","3"
"05","Greece","Marinella",""Krasi, thalassa ke t' agori mou" (Κρασί, θάλασσα και τ' αγόρι μου)","Greek","11","7"
"06","Israel","Kaveret",""Natati La Khayay" (נתתי לה חיי)","Hebrew","7","11"
"07","Yugoslavia","Korni Grupa",""Generacija '42" (Генерација '42)","Serbian","12","6"
"08","Sweden","ABBA",""Waterloo"","English","1","24"
"09","Luxembourg","Ireen Sheer",""Bye Bye I Love You"","French","4","14"
"10","Monaco","Romuald",""Celui qui reste et celui qui s'en va"","French","4","14"
"11","Belgium","Jacques Hustin",""Fleur de liberté"","French","9","10"
"12","Netherlands","Mouth & MacNeal",""I See a Star"","English","3","15"
"13","Ireland","Tina Reynolds",""Cross Your Heart"","English","7","11"
"14","Germany","Cindy & Bert",""Die Sommermelodie"","German","14","3"
"15","Switzerland","Piera Martell",""Mein Ruf nach dir"","German","14","3"
"16","Portugal","Paulo de Carvalho",""E depois do adeus"","Portuguese","14","3"
"17","Italy","Gigliola Cinquetti",""Sì"","Italian","2","18"
