"Draw","Artist","Song","Composer - Lyricist","Points","Place"
"1","West Side Family","%INLINEQ%Jehonë%INLINEQ%","Dr. Flori, Klodian Qafoku","118","3"
"2","Soni Malaj","%INLINEQ%Zona zero%INLINEQ%","Florian Mumajesi","44","16"
"3","Juliana Pasha & Luiz Ejlli","%INLINEQ%Nje jetë%INLINEQ%","Shpetim Saraçi, Turian Hyskaj","119","2"
"4","Kujtim Prodani","%INLINEQ%Nostalgji%INLINEQ%","Kujtim Prodani, Agim Doci","24","18"
"5","Emi Bogdo","%INLINEQ%Kur buzet henen e kafshojn%INLINEQ%","Emi Bogdo, Klodian Qafoku","43","17"
"6","Erga Halilaj","%INLINEQ%Dikush mungon%INLINEQ%","Kristi Popa, Florion Zyko","63","11"
"7","Marjeta Billo","%INLINEQ%Era e tokës%INLINEQ%","Adrian Hila, Pandi Laço","106","5"
"8","Adelina Thaci","%INLINEQ%Oret e fundit%INLINEQ%","Alfred Kacinari","91","8"
"9","Rovena Dilo & Eugent Bushpepa","%INLINEQ%S'jam balade%INLINEQ%","Armend Rexhepagiqi, Aida Baraku","60","12"
"10","Dorina Garuci","%INLINEQ%Dite një jetë%INLINEQ%","Dorian Nini, Pandi Laço","92","7"
"11","Endri & Stefi Prifti","%INLINEQ%Ti bere faj%INLINEQ%","Josif Minga, Skender Rusi","91","8"
"12","Kejsi Tola","%INLINEQ%Më merr në ëndërr%INLINEQ%","Edmond Zhulali, Agim Doçi","126","1"
"13","Era Rusi","%INLINEQ%Shpirt i humbur%INLINEQ%","Arsen Nasi & Bledar Skenderi, Irma Libohova","50","15"
"14","Julian Lekoçaj","%INLINEQ%Nuk je ti%INLINEQ%","Julian Lekoçaj","17","20"
"15","Shpat Kasapi","%INLINEQ%Aromë mediterane%INLINEQ%","Gent Myftarai, Pandi Laço","22","19"
"16","Evis Mula","%INLINEQ%Unë jam dashuria%INLINEQ%","Luan Zhegu, Agim Doçi","91","8"
"17","Burn","%INLINEQ%Jam i pari i jettes sime%INLINEQ%","Stivart Cela & Renis Gjoka, Big Basta","96","6"
"18","Vedat Ademi","%INLINEQ%Po me prite ti%INLINEQ%","Kledi Bahiti, Alban Male","51","14"
"19","Agim Poshka","%INLINEQ%Fajtor për ngrohjen globale%INLINEQ%","Agim Poshka, Olsen Maze","56","13"
"20","Besa Kokedhima","%INLINEQ%Ajer%INLINEQ%","Alban Male, Olti Curri","109","4"
