"No. overall","No. in season","Title","Directed by","Written by","Original air date","U.S. viewers (millions)"
"66","1",""The Butterfly Effect (Part 1)"","John Terlesky","Sheila Lawrence & Henry Alonso Myers","October 16, 2009","5.01"
"67","2",""The Butterfly Effect (Part 2)"","Victor Nelli, Jr.","Sheila Lawrence & Henry Alonso Myers","October 16, 2009","5.18"
"68","3",""Blue on Blue"","Victor Nelli, Jr","Abraham Higginbotham","October 23, 2009","4.55"
"69","4",""The Weiner, the Bun, and the Boob"","Wendey Stanzler","Brian Tanen","October 30, 2009","4.50"
"70","5",""Plus None"","Paul Holahan","Cara DiPaolo","November 6, 2009","4.76"
"71","6",""Backseat Betty"","John Putch","Tracy Poust & Jon Kinnally","November 13, 2009","4.46"
"72","7",""Level (7) with Me"","John Fortenberry","Chris Black","November 27, 2009","3.39"
"73","8",""The Bahamas Triangle"","Victor Neili, Jr.","Sheila Lawrence","December 4, 2009","4.23"
"74","9",""Be-Shure"","David Dworetzky","Gail Lerner","December 11, 2009","4.80"
"75","10",""The Passion of the Betty"","S.J. Clarkson","David Grubstick & Chris Black","January 6, 2010","5.13"
"76","11",""Back in Her Place"","Richard Heus","Abraham Higginbotham","January 13, 2010","4.67"
"77","12",""Blackout!"","John Putch","Cara DiPaolo","January 20, 2010","4.59"
"78","13",""Chica and the Man"","Victor Nelli, Jr.","Gail Lerner","February 3, 2010","4.34"
"79","14",""Smokin' Hot"","John Scott","Brian Tanen","February 10, 2010","4.68"
"80","15",""Fire and Nice"","John Terlesky","Erika Johnson","March 10, 2010","4.10"
"81","16",""All the World's a Stage"","Andy Wolk","Abraham Higginbotham & David Grubstick","March 17, 2010","3.33"
"82","17",""Million Dollar Smile"","Paul Holahan","Henry Alonso Myers & Chris Black","March 24, 2010","4.56"
"83","18",""London Calling"","Mark Worthington","David Grubstick & Sheila Lawrence","March 31, 2010","4.01"
"84","19",""The Past Presents the Future"","Paul Holahan","Jon Kinnaly & Tracy Poust","April 7, 2010","4.03"
"85","20",""Hello Goodbye"","Victor Nelli Jr.","Silvio Horta","April 14, 2010","5.43"
