"Team","City","Arena","Budget Million €","Attendance Regular Season","Attendance Playoffs"
"Augsburger Panther","Augsburg","Curt Frenzel Stadium","3.1","3,678","5,052"
"Eisbären Berlin","Berlin","O2 World","7.7","13,746","14,083"
"DEG Metro Stars","Düsseldorf","ISS Dome","7.2","6,084","9,943"
"Frankfurt Lions","Frankfurt","Eissporthalle Frankfurt","4.8","6,208","5,650"
"Füchse Duisburg","Duisburg","Scania Arena","4.0","1,792",""
"Hamburg Freezers","Hamburg","Color Line Arena","7.1","7,949","6,660"
"Hannover Scorpions","Hanover","TUI Arena","7.1","7,949","6,660"
"ERC Ingolstadt","Ingolstadt","Saturn Arena","6.2","3,346",""
"Iserlohn Roosters","Iserlohn","Eissporthalle Iserlohn","4.5","3,864",""
"Kassel Huskies","Kassel","Eissporthalle Kassel","3.1","4,071",""
"Kölner Haie","Cologne","Lanxess Arena","6.5","10,342",""
"Krefeld Pinguine","Krefeld","König Palast","4.1","4,491","7,819"
"Adler Mannheim","Mannheim","SAP Arena","8.0","11,756","12,237"
"Sinupret Ice Tigers","Nuremberg","Nuremberg Arena","4.8","4,322","7,976"
"Straubing Tigers","Straubing","Eisstadion am Pulverturm","3.7","4,226",""
"Wolfsburg Grizzly Adams","Wolfsburg","Eisarena Wolfsburg","4.5","2,328","2,560"
