"Year","Date","Winner","Result","Loser","Attendance","Location","Series Record"
"1921","Sunday, November 27","Chicago Staleys","20–0","Green Bay Packers","7,000","Chicago","Bears 1–0"
"1923","Sunday, October 14","Chicago Bears","3–0","Green Bay Packers","4,451","Green Bay","Bears 2–0"
"1924","Sunday, November 23","Chicago Bears","3–0","Green Bay Packers","6,000","Chicago","Bears 3–0"
"1925","Sunday, September 27","Green Bay Packers","14–10","Chicago Bears","5,389","Green Bay","Bears 3–1"
"1925","Sunday, November 22","Chicago Bears","21–0","Green Bay Packers","6,898","Chicago","Bears 4–1"
"1926","Sunday, September 26","","6–6","","7,000","Green Bay","Bears 4–1–1"
"1926","Sunday, November 21","Chicago Bears","19–13","Green Bay Packers","7,500","Chicago","Bears 5–1–1"
"1926","Sunday, December 19","","3–3","","10,000","Chicago","Bears 5–1–2"
"1927","Sunday, October 2","Chicago Bears","7–6","Green Bay Packers","5,500","Green Bay","Bears 6–1–2"
"1927","Sunday, November 20","Chicago Bears","14–6","Green Bay Packers","6,000","Chicago","Bears 7–1–2"
"1928","Sunday, September 30","","12–12","","8,500","Green Bay","Bears 7–1–3"
"1928","Sunday, October 21","Green Bay Packers","16–6","Chicago Bears","15,000","Chicago","Bears 7–2–3"
"1928","Sunday, December 9","Green Bay Packers","6–0","Chicago Bears","14,000","Chicago","Bears 7–3–3"
"1929","Sunday, September 29","Green Bay Packers","23–0","Chicago Bears","13,000","Green Bay","Bears 7–4–3"
"1929","Sunday, November 10","Green Bay Packers","14–0","Chicago Bears","13,000","Chicago","Bears 7–5–3"
"1929","Sunday, December 8","Green Bay Packers","25–0","Chicago Bears","6,000","Chicago","Bears 7–6–3"
