"Rank","Population","Name","Former Name","Municipality"
"14","856","Qeqertarsuaq","Godhavn Lievely","Qeqertalik"
"15","628","Qaanaaq","Thule","Avannaata"
"16","552","Kangaatsiaq","—","Qeqertalik"
"17","499","Kangerlussuaq","Bluie West-8 Søndre Strømfjord Sondrestrom","Qeqqata"
"18","436","Kullorsuaq","—","Avannaata"
"19","366","Ittoqqortoormiit","Scoresbysund","Sermersooq"
"20","308","Kangaamiut","Gammel Sukkertoppen Sukkertoppen","Qeqqata"
"21","280","Niaqornaarsuk","—","Qeqertalik"
"22","262","Kuummiit","—","Sermersooq"
"23","260","Tasiusaq","—","Avannaata"
"24","244","Ikerasak","—","Avannaata"
"25","242","Saattut","—","Avannaata"
"26","240","Kulusuk","Kap Dan","Sermersooq"
"27","219","Alluitsup Paa","Sydprøven","Kujalleq"
"28","206","Qeqertarsuatsiaat","Fiskenæsset","Sermersooq"
"29","202","Sermiligaaq","—","Sermersooq"
"30","200","Attu","—","Qeqertalik"
