"Artist","Single","Released","Sales (in millions)","Source"
"Tino Rossi","%INLINEQ%Petit Papa Noël%INLINEQ%","1946","5.7",""
"Christina Aguilera, Lil' Kim, Mýa and Pink","%INLINEQ%Lady Marmalade%INLINEQ%","2001","5.5",""
"1910 Fruitgum Company","%INLINEQ%Simon Says%INLINEQ%","1967","5",""
"ABBA","%INLINEQ%Waterloo%INLINEQ%","1974","5",""
"Gene Austin","%INLINEQ%My Blue Heaven%INLINEQ%","1927","5",""
"Gene Autry","%INLINEQ%That Silver-Haired Daddy of Mine%INLINEQ%","1935","5",""
"The Beatles","%INLINEQ%She Loves You%INLINEQ%","1963","5",""
"Bee Gees","%INLINEQ%Massachusetts%INLINEQ%","1967","5",""
"Culture Club","%INLINEQ%Karma Chameleon%INLINEQ%","1983","5",""
"Enigma","%INLINEQ%Sadeness (Part I)%INLINEQ%","1990","5",""
"Engelbert Humperdinck","%INLINEQ%Release Me%INLINEQ%","1967","5",""
"Terry Jacks","%INLINEQ%Seasons in the Sun%INLINEQ%","1974","5",""
"The Jackson 5","%INLINEQ%I'll Be There%INLINEQ%","1970","5",""
"Tommy James and the Shondells","%INLINEQ%Crimson and Clover%INLINEQ%","1968","5",""
"Tom Jones","%INLINEQ%Delilah%INLINEQ%","1968","5",""
"Jerry Lee Lewis","%INLINEQ%Great Balls of Fire%INLINEQ%","1957","5",""
"Kaoma","%INLINEQ%Lambada%INLINEQ%","1989","5",""
"Madonna","%INLINEQ%Like a Prayer%INLINEQ%","1989","5",""
"Ricky Martin","%INLINEQ%María%INLINEQ%","1995","5",""
"Michael Zager Band","%INLINEQ%Let's All Chant%INLINEQ%","1977","5",""
"Mitch Miller","%INLINEQ%March from the River Kwai%INLINEQ%","1957","5",""
"Kylie Minogue","%INLINEQ%Can't Get You Out of My Head%INLINEQ%","2001","5",""
"The Monkees","%INLINEQ%Daydream Believer%INLINEQ%","1967","5",""
"Musical Youth","%INLINEQ%Pass the Dutchie%INLINEQ%","1982","5",""
"The Partridge Family","%INLINEQ%I Think I Love You%INLINEQ%","1970","5",""
"Elvis Presley","%INLINEQ%Are You Lonesome Tonight?%INLINEQ%","1960","5",""
"Elvis Presley","%INLINEQ%Surrender%INLINEQ%","1961","5",""
"Jeannie C. Riley","%INLINEQ%Harper Valley PTA%INLINEQ%","1968","5",""
"Nini Rosso","%INLINEQ%Il Silenzio%INLINEQ%","1965","5",""
"David Seville and the Chipmunks","%INLINEQ%The Chipmunk Song (Christmas Don't Be Late)%INLINEQ%","1958","5",""
"Staff Sergeant Barry Sadler","%INLINEQ%Ballad of the Green Berets%INLINEQ%","1966","5",""
"Billy Swan","%INLINEQ%I Can Help%INLINEQ%","1974","5",""
"Three Dog Night","%INLINEQ%Joy to the World%INLINEQ%","1971","5",""
"The Tornados","%INLINEQ%Telstar%INLINEQ%","1962","5",""
