"Year","Series Winner","Barnstormers W","Revolution W","Notes"
"2007","Barnstormers","10","8","first Community Cup"
"2008","Revolution","9","11",""
"2009","Barnstormers","14","6",""
"2010","Revolution","4","16","the earliest Cup win; July 24"
"2011","Barnstormers","10","8",""
"2012","Barnstormers","10","10","Lancaster retains cup in tie"
"2013","Revolution","8","12",""
"2014","Revolution","7","13","first consecutive Cup win"
"2015","Barnstormers","15","11",""
"2016","Barnstormers","11","9",""
"2017","Revolution","9","10",""
"Overall","Barnstormers (6–5)","107","114",""
