"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Ohio State","Woody Hayes","#4","#1","11–1","8–0","32.0","8.5","Corn. Greene"
"2","Michigan","Bo Schembechler","#8","#1","8–2–2","7–1","27.0","10.8","Gordon Bell"
"3 (tie)","Michigan State","Denny Stolz","NR","#11","7–4","4–4","20.2","15.2","Levi Jackson"
"3 (tie)","Illinois","Bob Blackman","NR","NR","5–6","4–4","20.8","23.6","Stu Levenick"
"3 (tie)","Purdue","Alex Agase","NR","NR","4–7","4–4","11.6","20.0","Mike Pruitt"
"6","Wisconsin","John Jardine","NR","NR","4–6–1","3–4–1","15.8","24.5","Billy Marek"
"7 (tie)","Minnesota","Cal Stoll","NR","NR","6–5","3–5","21.5","17.5","Tony Dungy"
"7 (tie)","Iowa","Bob Commings","NR","NR","3–8","3–5","16.5","25.4","Andre Jackson"
"9","Northwestern","John Pont","NR","NR","3–8","2–6","13.5","28.9","Greg Boykin"
"10","Indiana","Lee Corso","NR","NR","2-8-1","1-6-1","9.5","23.1","Donnie Thomas"
