"Ranking","Single","Artist","Release","Sales"
"1","%INLINEQ%Yuuwaku%INLINEQ%","Glay","April 29, 1998","1,612,000"
"2","%INLINEQ%Yozora no Mukō%INLINEQ%","SMAP","January 14, 1998","1,571,000"
"3","%INLINEQ%My Graduation%INLINEQ%","Speed","February 18, 1997","1,475,000"
"4","%INLINEQ%Timing%INLINEQ%","Black Biscuits","April 22, 1998","1,451,000"
"5","%INLINEQ%Soul Love%INLINEQ%","Glay","April 29, 1998","1,372,000"
"6","%INLINEQ%Nagai Aida%INLINEQ%","Kiroro","January 21, 1998","1,182,000"
"7","%INLINEQ%Honey%INLINEQ%","L'Arc-en-Ciel","July 8, 1998","1,173,000"
"8","%INLINEQ%Aisareru yori Aishitai%INLINEQ%","KinKi Kids","November 12, 1997","1,135,000"
"9","%INLINEQ%Time Goes By%INLINEQ%","Every Little Thing","February 11, 1998","1,132,000"
"10","%INLINEQ%Zenbu Dakishimete%INLINEQ%","KinKi Kids","July 29, 1998","1,127,000"
"11","%INLINEQ%Pink Spider%INLINEQ%","hide with Spread Beaver","May 13, 1998","1,033,000"
"12","%INLINEQ%Ashita ga Kikoeru/Children's Holiday%INLINEQ%","J-Friends","January 21, 1998","1,021,000"
"13","%INLINEQ%All My True Love%INLINEQ%","Speed","October 28, 1998","1,012,000"
"14","%INLINEQ%Kasou%INLINEQ%","L'Arc-en-Ciel","July 8, 1998","1,009,000"
"15","%INLINEQ%Snow Drop%INLINEQ%","L'Arc-en-Ciel","October 7, 1998","997,000"
