"Draw","Country","Artist","Song","Language","Place","Points"
"01","Austria","Marianne Mendt","%INLINEQ%Musik%INLINEQ%","Viennese","16","66"
"02","Malta","Joe Grech","%INLINEQ%Marija l-Maltija%INLINEQ%","Maltese","18","52"
"03","Monaco","Séverine","%INLINEQ%Un banc, un arbre, une rue%INLINEQ%","French","1","128"
"04","Switzerland","Peter, Sue and Marc","%INLINEQ%Les illusions de nos vingt ans%INLINEQ%","French","12","78"
"05","Germany","Katja Ebstein","%INLINEQ%Diese Welt%INLINEQ%","German","3","100"
"06","Spain","Karina","%INLINEQ%En un mundo nuevo%INLINEQ%","Spanish","2","116"
"07","France","Serge Lama","%INLINEQ%Un jardin sur la terre%INLINEQ%","French","10","82"
"08","Luxembourg","Monique Melsen","%INLINEQ%Pomme, pomme, pomme%INLINEQ%","French","13","70"
"09","United Kingdom","Clodagh Rodgers","%INLINEQ%Jack In The Box%INLINEQ%","English","4","98"
"10","Belgium","Lily Castel & Jacques Raymond","%INLINEQ%Goeiemorgen, morgen%INLINEQ%","Dutch","14","68"
"11","Italy","Massimo Ranieri","%INLINEQ%L'amore è un attimo%INLINEQ%","Italian","5","91"
"12","Sweden","Family Four","%INLINEQ%Vita vidder%INLINEQ%","Swedish","6","85"
"13","Ireland","Angela Farrell","%INLINEQ%One Day Love%INLINEQ%","English","11","79"
"14","Netherlands","Saskia & Serge","%INLINEQ%Tijd%INLINEQ%","Dutch","6","85"
"15","Portugal","Tonicha","%INLINEQ%Menina do alto da serra%INLINEQ%","Portuguese","9","83"
"16","Yugoslavia","Krunoslav Slabinac","%INLINEQ%Tvoj dječak je tužan%INLINEQ%","Croatian","14","68"
"17","Finland","Markku Aro & Koivistolaiset","%INLINEQ%Tie uuteen päivään%INLINEQ%","Finnish","8","84"
"18","Norway","Hanne Krogh","%INLINEQ%Lykken er%INLINEQ%","Norwegian","17","65"
