"Name","Year","Capacity (MW)","Manufacturer","Location","Province"
"Aliağa Wind Farm","2008","193","Nordex Enercon","Aliağa","İzmir"
"Bahçe Wind Farm","2009","135","GE","Bahçe","Osmaniye"
"Bandırma Wind Farm","2006","30","GE","Bandırma","Balıkesir"
"Bozcaada Wind Farm","2000","10","Enercon","Bozcaada","Çanakkale"
"Çanta Wind Farm","2014","47.5","Nordex","Çanta, Silivri","İstanbul"
"Çatalca Wind Farm","2008","60","Vestas","Çatalca","İstanbul"
"Çeşme Wind Farm","2007","39","Enercon","Çeşme","İzmir"
"Dağpazarı Wind Farm","2012","39","Siemens","Dağpazarı","Mersin"
"Didim Wind Farm","2009","31","Suzlon","Didim","Aydın"
"İntepe Wind Farm","2007","30","Enercon","İntepe","Çanakkale"
"Mut Wind Farm","2010","33","Vestas","Mut","Mersin"
"Samandağ Wind Farm","2009","35","Nordex","Samandağ","Hatay"
"Sayalar Wind Farm","2008","30","Enercon","Sayalar","Manisa"
"Soma Wind Farm","2012","141","Enercon","Soma","Manisa"
"Şamlı Wind Farm","2008","90","Vestas","Şamlı","Balıkesir"
