"Year","Winner","Age","Jockey","Trainer","Owner","Time"
"2011","Wasted Tears","6","Julien Leparoux","Bart B. Evans","Bart Evans","1:34.06"
"2010","Wasted Tears","5","Cliff Berry","Bart B. Evans","Bart B. Evans","1:33.25"
"2009","Wasted Tears","4","Eguard Tejera","Bart B. Evans","Bart B. Evans","1:32.81"
"2008","Brownie Points","5","Luis Quinonez","Donnie K. Von Hemel","Pin Oak Stable","1:35.82"
"2007","Lady of Venice","4","Garrett Gomez","Patrick Biancone","Martin S. Schwartz","1:38.32"
"2006","Sweet Talker","4","Ramon Dominguez","H. Graham Motion","Courtlandt Farms","1:38.66"
"2005","Katdogawn","5","Jerry Bailey","Wallace Dollase","Jim Ford Inc./John Cuchna","1:39.53"
"2004","Academic Angel","5","Shane Sellers","Steve Asmussen","Cash Asmussen","1:35.98"
"2003","Eagle Lake","5","Gerard Melancon","Cole Norman","Turf Express Inc.","1:43.02"
"2002","Queen of Wilshire","6","David Flores","Darrell Vienna","E A Ranches","1:38.96"
"2001","Voladora","6","Cliff Berry","Donnie K. Von Hemel","George O. Kleier","1:42.23"
"2000","Mumtaz","4","Victor Espinoza","Thomas M. Amoss","Bates, Hendricks, et al.","1:37.28"
"1999","Heritage Of Gold","4","Casey Lambert","Steve Asmussen","Jack Garey","1:37.75"
"1998","Arctica","4","E.J. Perrodin","Tony J. Richey","Royce Roberts","1:46.53"
"1997","Fresa","5","Corey Lanerie","Bill Stice","Tom Ball","1:46.68"
