"Draw","Country","Artist","Song","Language","Place","Points"
"01","Cyprus","Hara & Andreas Konstantinou","%INLINEQ%Mana mou%INLINEQ% (Μάνα μου)","Greek","5","98"
"02","Turkey","Şebnem Paker & Grup Ethnic","%INLINEQ%Dinle%INLINEQ%","Turkish","3","121"
"03","Norway","Tor Endresen","%INLINEQ%San Francisco%INLINEQ%","Norwegian","24","0"
"04","Austria","Bettina Soriat","%INLINEQ%One Step%INLINEQ%","German","21","12"
"05","Ireland","Marc Roberts","%INLINEQ%Mysterious Woman%INLINEQ%","English","2","157"
"06","Slovenia","Tanja Ribič","%INLINEQ%Zbudi se%INLINEQ%","Slovene","10","60"
"07","Switzerland","Barbara Berta","%INLINEQ%Dentro di me%INLINEQ%","Italian","22","5"
"08","Netherlands","Mrs. Einstein","%INLINEQ%Niemand heeft nog tijd%INLINEQ%","Dutch","22","5"
"09","Italy","Jalisse","%INLINEQ%Fiumi di parole%INLINEQ%","Italian","4","114"
"10","Spain","Marcos Llunas","%INLINEQ%Sin rencor%INLINEQ%","Spanish","6","96"
"11","Germany","Bianca Shomburg","%INLINEQ%Zeit%INLINEQ%","German","18","22"
"12","Poland","Anna Maria Jopek","%INLINEQ%Ale jestem%INLINEQ%","Polish","11","54"
"13","Estonia","Maarja-Liis Ilus","%INLINEQ%Keelatud maa%INLINEQ%","Estonian","8","82"
"14","Bosnia and Herzegovina","Alma Čardžić","%INLINEQ%Goodbye%INLINEQ%","Bosnian","18","22"
"15","Portugal","Célia Lawson","%INLINEQ%Antes do adeus%INLINEQ%","Portuguese","24","0"
"16","Sweden","Blond","%INLINEQ%Bara hon älskar mig%INLINEQ%","Swedish","14","36"
"17","Greece","Marianna Zorba","%INLINEQ%Horepse%INLINEQ% (Χόρεψε)","Greek","12","39"
"18","Malta","Debbie Scerri","%INLINEQ%Let Me Fly%INLINEQ%","English","9","66"
"19","Hungary","V.I.P.","%INLINEQ%Miért kell, hogy elmenj?%INLINEQ%","Hungarian","12","39"
"20","Russia","Alla Pugacheva","%INLINEQ%Primadonna%INLINEQ% (Примадонна)","Russian","15","33"
"21","Denmark","Kølig Kaj","%INLINEQ%Stemmen i mit liv%INLINEQ%","Danish","16","25"
"22","France","Fanny","%INLINEQ%Sentiments songes%INLINEQ%","French","7","95"
"23","Croatia","E.N.I.","%INLINEQ%Probudi me%INLINEQ%","Croatian","17","24"
"24","United Kingdom","Katrina and the Waves","%INLINEQ%Love Shine a Light%INLINEQ%","English","1","227"
"25","Iceland","Paul Oscar","%INLINEQ%Minn hinsti dans%INLINEQ%","Icelandic","20","18"
