"Pos","No.","Driver","Team","Manufacturer","Best Speed"
"1","41","Ben Rhodes","ThorSport Racing","Ford","97.854"
"2","18","Noah Gragson","Kyle Busch Motorsports","Toyota","97.395"
"3","13","Myatt Snider (R)","ThorSport Racing","Ford","96.610"
"4","88","Matt Crafton","ThorSport Racing","Ford","95.971"
"5","25","Timothy Peters","GMS Racing","Chevrolet","95.696"
"6","21","Johnny Sauter","GMS Racing","Chevrolet","95.556"
"7","8","John Hunter Nemechek (i)","NEMCO Motorsports","Chevrolet","95.419"
"8","24","Justin Haley","GMS Racing","Chevrolet","94.895"
"9","02","Austin Hill","Young's Motorsports","Chevrolet","94.871"
"10","12","Alex Tagliani","Young's Motorsports","Chevrolet","94.669"
"11","98","Grant Enfinger","ThorSport Racing","Ford","94.235"
"12","2","Cody Coughlin","GMS Racing","Chevrolet","93.964"
"13","49","D. J. Kennington","Premium Motorsports","Chevrolet","90.991"
"14","51","Harrison Burton","Kyle Busch Motorsports","Toyota","90.789"
"15","4","Todd Gilliland (R)","Kyle Busch Motorsports","Toyota","90.676"
"16","52","Stewart Friesen","Halmar Friesen Racing","Chevrolet","90.624"
"17","16","Brett Moffitt","Hattori Racing Enterprises","Toyota","90.459"
"18","22","Austin Wayne Self","Niece Motorsports","Chevrolet","89.668"
"19","20","Max Tullman (i)","Young's Motorsports","Chevrolet","86.415"
"20","45","Justin Fontaine (R)","Niece Motorsports","Chevrolet","71.194"
"21","54","Bo LeMastus (R)","DGR-Crosley","Toyota","0.000"
"22","3","Jordan Anderson","Jordan Anderson Racing","Chevrolet","0.000"
"23","15","Wendell Chavous","Premium Motorsports","Chevrolet","0.000"
"24","97","Roger Reuse","JJL Motorsports","Chevrolet","0.000"
"25","6","Norm Benning","Norm Benning Racing","Chevrolet","0.000"
"26","10","Jennifer Jo Cobb","Jennifer Jo Cobb Racing","Chevrolet","0.000"
"27","33","Jason White","Reaume Brothers Racing","Chevrolet","0.000"
"28","50","Ray Ciccarelli","Beaver Motorsports","Chevrolet","0.000"
"29","87","Joe Nemechek","NEMCO Motorsports","Chevrolet","0.000"
"30","0","Justin Kunz","Jennifer Jo Cobb Racing","Chevrolet","0.000"
"31","34","Jesse Iwuji","Reaume Brothers Racing","Chevrolet","0.000"
"32","74","Mike Harmon (i)","Mike Harmon Racing","Chevrolet","0.000"
