"#","Event year","Season","Flag bearer","Sport"
"18","1988","Summer","Karelin, AleksandrAleksandr Karelin","Wrestling"
"17","1988","Winter","Bukin, AndreyAndrey Bukin","Figure skating"
"16","1984","Winter","Tretyak, VladislavVladislav Tretyak","Ice hockey"
"15","1980","Summer","Balboshin, NikolayNikolay Balboshin","Wrestling"
"14","1980","Winter","Tikhonov, AlexanderAlexander Tikhonov","Biathlon"
"13","1976","Summer","Alekseyev, VasilyVasily Alekseyev","Weightlifting"
"12","1976","Winter","Tretyak, VladislavVladislav Tretyak","Ice hockey"
"11","1972","Summer","Medved, AleksandrAleksandr Medved","Wrestling"
"10","1972","Winter","Vedenin, VyacheslavVyacheslav Vedenin","Cross-country skiing"
"9","1968","Summer","Zhabotinsky, LeonidLeonid Zhabotinsky","Weightlifting"
"8","1968","Winter","Mamatov, ViktorViktor Mamatov","Biathlon"
"7","1964","Summer","Vlasov, YuryYury Vlasov","Weightlifting"
"6","1964","Winter","Grishin, YevgenyYevgeny Grishin","Speed skating"
"5","1960","Summer","Vlasov, YuryYury Vlasov","Weightlifting"
"4","1960","Winter","Sologubov, NikolaiNikolai Sologubov","Ice hockey"
"3","1956","Summer","Medvedev, AlekseyAleksey Medvedev","Weightlifting"
"2","1956","Winter","Goncharenko, OlegOleg Goncharenko","Speed skating"
"1","1952","Summer","Kucenko, YakovYakov Kucenko","Weightlifting"
