"No.","Name","Role","Channel","Year"
"1.","Kuchh Is Tara","Kanya Godhbole Nanda / Natasha","Sony TV","2007"
"2.","Kis Desh Mein Hai Meraa Dil","Sanjana Rampal","Star Plus","2008"
"3.","Raja Ki Aayegi Baraat","Sandhya","Star Plus","2008"
"4.","Hum Dono Hain Alag Alag","Avantika %INLINEQ%Avi%INLINEQ% Trivedi","STAR One","2009"
"5.","Amrit Manthan","Rajkumari Nimrit Kaur Sodhi / Nimrit Agam Malik / Shivangi Kaur Sodhi / Shivangi Tej Malik","Life OK","2012"
"6.","Beintehaa","Barkat Abdullah/Bobby Mir Khan","Colors TV","2013"
"7.","Welcome - Baazi Mehmaan-Nawaazi ki","Herself","Life OK","2013"
"8.","Mrs. Pammi Pyarelal","Minty Rajbir Faujdar","Colors TV","2013"
"9.","Yeh Hai Aashiqui","Manasvi","Bindaas","2013"
"10.","Maharakshak Aryan","Yuvika","Zee TV","2014"
"11.","Tum Hi Ho Bandhu Sakha Tumhi","Avni Pethawala","Zee TV","2015"
