"Mountain","Metres","Feet","Prefecture","Latitude","Longitude"
"Mount Fuji","3,776","12,388","Shizuoka / Yamanashi","",""
"Mount Kita","3,193","10,476","Yamanashi","",""
"Mount Okuhotaka","3,190","10,466","Gifu / Nagano","",""
"Mount Aino","3,189","10,463","Shizuoka / Yamanashi","",""
"Mount Yari","3,180","10,433","Gifu / Nagano","",""
"Mount Warusawa","3,141","10,305","Shizuoka","",""
"Mount Akaishi","3,120","10,236","Nagano / Shizuoka","",""
"Mount Karasawa","3,110","10,203","Gifu / Nagano","",""
"Mount Kitahotaka","3,106","10,190","Gifu / Nagano","",""
"Mount Obami [jp]","3,101","10,174","Gifu / Nagano","",""
"Mount Maehotaka","3,090","10,138","Nagano","",""
"Mount Naka [jp]","3,084","10,118","Gifu / Nagano","",""
"Mount Arakawa-Naka","3,084","10,118","Shizuoka","",""
"Mount Ontake","3,067","10,062","Gifu / Nagano","",""
"Mount Nishinōtori","3,051","10,010","Shizuoka / Yamanashi","",""
"Mount Shiomi","3,047","9,997","Nagano / Shizuoka","",""
"Mount Minami","3,032.68","9,950","Gifu / Nagano","",""
"Mount Senjō","3,032.56","9,949","Nagano / Yamanashi","",""
"Mount Norikura","3,026","9,928","Gifu / Nagano","",""
"Mount Tate","3,015","9,892","Toyama","",""
"Mount Hijiri","3,013","9,885","Nagano / Shizuoka","",""
