"No. overall","No. in season","Title","Directed by","Written by","Original air date","Prod. code","US viewers (millions)"
"1","1","%INLINEQ%Pilot%INLINEQ%","Patty Jenkins","Teleplay by : Veena Sud","April 3, 2011","BDH179/S179","2.72"
"2","2","%INLINEQ%The Cage%INLINEQ%","Ed Bianchi","Veena Sud","April 3, 2011","BDH101/S101","2.72"
"3","3","%INLINEQ%El Diablo%INLINEQ%","Gwyneth Horder-Payton","Dawn Prestwich & Nicole Yorkin","April 10, 2011","BDH102/S102","2.56"
"4","4","%INLINEQ%A Soundless Echo%INLINEQ%","Jennifer Getzinger","Soo Hugh","April 17, 2011","BDH103/S103","2.51"
"5","5","%INLINEQ%Super 8%INLINEQ%","Phil Abraham","Jeremy Doner","April 24, 2011","BDH104/S104","2.25"
"6","6","%INLINEQ%What You Have Left%INLINEQ%","Agnieszka Holland","Nic Pizzolatto","May 1, 2011","BDH105/S105","1.81"
"7","7","%INLINEQ%Vengeance%INLINEQ%","Ed Bianchi","Linda Burstyn","May 8, 2011","BDH106/S106","1.83"
"8","8","%INLINEQ%Stonewalled%INLINEQ%","Dan Attias","Aaron Zelman","May 15, 2011","BDH107/S107","1.98"
"9","9","%INLINEQ%Undertow%INLINEQ%","Agnieszka Holland","Dan Nowak","May 22, 2011","BDH108/S108","1.69"
"10","10","%INLINEQ%I'll Let You Know When I Get There%INLINEQ%","Ed Bianchi","Nicole Yorkin & Dawn Prestwich","May 29, 2011","BDH109/S109","1.97"
"11","11","%INLINEQ%Missing%INLINEQ%","Nicole Kassell","Veena Sud","June 5, 2011","BDH110/S110","1.98"
"12","12","%INLINEQ%Beau Soleil%INLINEQ%","Keith Gordon","Jeremy Doner & Soo Hugh","June 12, 2011","BDH111/S111","1.83"
"13","13","%INLINEQ%Orpheus Descending%INLINEQ%","Brad Anderson","Veena Sud & Nic Pizzolatto","June 19, 2011","BDH112/S112","2.32"
