"Rank","Name","Nationality","# 1","# 2","# 3","# 4","# 5","# 6","Mark","Notes"
"","Piotr Małachowski","Poland (POL)","65.09","67.40","62.04","64.40","64.59","64.84","67.40",""
"","Philip Milanov","Belgium (BEL)","60.06","64.38","66.90","x","62.32","65.67","66.90","NR"
"","Robert Urbanek","Poland (POL)","60.47","61.58","64.14","64.62","65.18","x","65.18",""
"4","Gerd Kanter","Estonia (EST)","64.82","63.52","63.95","64.01","64.65","x","64.82",""
"5","Daniel Ståhl","Sweden (SWE)","61.74","60.42","64.42","64.73","x","x","64.73","SB"
"6","Apostolos Parellis","Cyprus (CYP)","63.20","64.55","63.63","63.46","64.39","62.66","64.55",""
"7","Fedrick Dacres","Jamaica (JAM)","64.22","59.80","x","62.74","61.73","x","64.22",""
"8","Christoph Harting","Germany (GER)","63.94","63.55","x","x","x","x","63.94",""
"9","Vikas Gowda","India (IND)","60.28","x","62.24","","","","62.24",""
"10","Benn Harradine","Australia (AUS)","58.15","x","62.05","","","","62.05",""
"11","Mauricio Ortega","Colombia (COL)","13.10","x","62.01","","","","62.01",""
"12","Julian Wruck","Australia (AUS)","59.74","60.01","56.78","","","","60.01",""
