"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Michigan","Bo Schembechler","#6","#2","11–1","8–0","35.1","6.9","Billy Taylor"
"2","Northwestern","Alex Agase","NR","#19","7–4","6–3","19.2","16.6","John Voorhees"
"3 (tie)","Ohio State","Woody Hayes","NR","#5","6–4","5–3","22.4","12.0","Tom DeLeone"
"3 (tie)","Michigan State","Duffy Daugherty","NR","#18","6–5","5–3","20.5","15.4","Eric Allen"
"3 (tie)","Illinois","Bob Blackman","NR","NR","5–6","5–3","14.8","21.6","Terry Masar"
"6 (tie)","Wisconsin","John Jardine","NR","NR","4–6–1","3–5","21.8","23.5","Neil Graff"
"6 (tie)","Minnesota","Murray Warmath","NR","NR","4–7","3–5","19.3","25.3","Tom Chandler"
"6 (tie)","Purdue","Bob DeMoss","NR","#17","3–7","3–5","21.0","22.8","Tom Luken"
"9","Indiana","John Pont","NR","NR","3–8","2–6","13.8","23.6","Chuck Thomson"
"10","Iowa","Frank Lauterbur","NR","NR","1–10","1–8","11.0","34.5","Craig Clemons"
