"Rank","Abbreviation","Name of university","Location","Established"
"1","AGU","Africa Graduate University","Entebbe","2012"
"2","AfRU","Africa Renewal University","Buloba","2013"
"3","ABU","African Bible University","Lubowa","2005"
"4","ARUW","African Rural University","Kagadi","2007"
"5","AKU","Aga Khan University","Kampala","2001"
"6","ASU","All Saints University","Lira","2008"
"7","AWU","Ankole Western University","Kabwohe","2005"
"8","BSU","Bishop Stuart University","Mbarara","2003"
"9","BMU","Bugema University","Bugema","1997"
"10","BGU","Busoga University","Iganga","1999"
"11","CUU","Cavendish University Uganda","Kampala","2008"
"12","GLRU","Great Lakes Regional University","Kanungu","2009"
"13","IHSU","International Health Sciences University","Namuwongo","2008"
"14","IUEA","International University of East Africa","Kansanga","2011"
"15","IUIU","Islamic University in Uganda","Mbale","1988"
"16","KIU","Kampala International University","Kansanga","2001"
"17","KU","Kampala University","Ggaba","2005"
"18","KUMU","Kumi University","Kumi","1996"
"19","LSIU","LivingStone International University","Mbale","2011"
"20","MRU","Muteesa I Royal University","Masaka","2007"
"21","MMU","Mountains of the Moon University","Fort Portal","2005"
"22","NDU","Ndejje University","Ndejje","1992"
"23","NKU","Nkumba University","Nkumba","1999"
"24","NSU","Nsaka University","Jinja","2013"
"25","SAIU","St. Augustine International University","Kampala","2012"
"26","SLAU","St. Lawrence University","Mengo","2006"
"27","SIU","Stafford University Uganda","Kisugu","2015."
"28","UCU","Uganda Christian University","Mukono","1997"
"29","UMU","Uganda Martyrs University","Nkozi","1993"
"30","UNIK","University of Kisubi","Kisubi","2004"
"31","UPU","Uganda Pentecostal University","Fort Portal","2005"
"32","USHG","University of the Sacred Heart Gulu","Gulu","2016"
"33","UTAMU","Uganda Technology and Management University","Kampala","2012"
"34","VU","Victoria University Uganda","Kampala","2011"
"35","VUU","Virtual University of Uganda","Kampala","2011"
"36","IU","Ibanda University","Ibanda","2014"
"37","LKU","Limkokwing University of Creative Technology","Namataba","2019"
