"Leader","Territory","Took office","Left office","Party"
"Arthur St. Clair","Northwest Territory","1787","1802",""
"William Henry Harrison","Indiana Territory","1801","1812","Whig"
"Charles Willing Byrd","Northwest Territory","1802","1803",""
"Meriwether Lewis","Territory of Louisiana","1807","1809",""
"Ninian Edwards","Illinois Territory","1809","1818","Democratic-Republican"
"William Clark","Territory of Louisiana","1813","1820",""
"Lewis Cass","Michigan Territory","1818","1831","Democratic"
"John S. Horner","Michigan Territory","1835","1837",""
"Henry Dodge","Wisconsin Territory","1836","1841","Democratic"
"Robert Lucas","Iowa Territory","1838","1841","Democratic"
"James Duane Doty","Wisconsin Territory","1841","1844","Whig"
"John Chambers","Iowa Territory","1841","1845","Whig"
"Nathaniel P. Tallmadge","Wisconsin Territory","1844","1845","Whig"
"James Clarke","Iowa Territory","1845","1849","Democratic"
"Henry Dodge","Wisconsin Territory","1845","1848","Democratic"
"John Catlin","Wisconsin Territory","1848","1849","Democratic"
"Alexander Ramsey","Minnesota Territory","1849","1853","Whig"
"Willis Arnold Gorman","Minnesota Territory","1853","1857","Democratic"
"Samuel Medary","Minnesota Territory","1857","1858","Democratic"
