"","Building","City","Height","Floor Count","Due Date"
"1","Trump Ocean Club","Panamá","284 m","68","2011"
"2","Vitri Tower","Panamá","281 m","75","2011"
"3","Star Bay Tower","Panamá","267 m","65","2013"
"4","The Point","Panamá","266 m","65","2011"
"5","Arts Tower","Panamá","265 m","56 and 80","2011"
"6","Tower Financial Center","Panamá","255.1 m","75","2011"
"7","Ocean Two","Panamá","245.7 m","73","2011"
"8","F&F Tower","Panamá","242.9 m","52","2012"
"9","Pearl at the Sea","Panamá","242.2 m","70","2011"
"10","Rivage","Panamá","232 m","68","2012"
"11","YooPanama","Panamá","232 m","57","2012"
"12","Waters Tower","Panamá","232 m","69","2011"
"13","Megapolis Tower","Panamá","230.1 m","62","2011"
"14","Q Tower","Panamá","210 m","65","2011"
"15","Ten Tower","Panamá","210 m","54","2011"
"16","White Tower","Panamá","210 m","62","2011"
"17","Yacht Club Tower","Panamá","210 m","57","2011"
"18","Aqualina Tower","Panamá","210 m","63","2007"
"19","Oasis on the Bay","Panamá","207 m","58","2012"
"20","Ocean One","Panamá","207 m","54","2008"
