"#","Date","Winner","Score","Loser","Score","Series","Location"
"1","2008","Central","38","North","7","Central 1–0","Columbus (Crew Stadium)"
"2","2009","Central","7","North","6","Central 2–0","Columbus (Crew Stadium)"
"3","2009","Central","14","North","12","Central 3–0","Pickerington (Tiger Stadium)"
"4","2010","Central","42","North","0","Central 4–0","Pickerington (Panther Stadium)"
"5","2011","Central","24","North","21","Central 5–0","Pickerington (Tiger Stadium)"
"6","2012","North","37","Central","0","Central 5–1","Pickerington (Tiger Stadium)"
"7","2012","North","24","Central","0","Central 5–2","Pickerington (Panther Stadium)"
"8","2013","North","49","Central","14","Central 5–3","Pickerington (Panther Stadium)"
"9","2014","Central","30","North","23","Central 6-3","Pickerington (Tiger Stadium)"
"10","2015","Central","37","North","7","Central 7-3","Pickerington (Panther Stadium)"
"11","2016","Central","17","North","14","Central 8-3","Pickerington (Tiger Stadium)"
"12","2016","Central","38","North","24","Central 9-3","Gahanna (Wilbur C. Strait Sr. Field)"
"13","2017","Central","24","North","21","Central 10-3","Pickerington (Panther Stadium)"
"14","2017","Central","31","North","14","Central 11-3","Columbus (Alumni Stadium)"
"15","2018","Central","16","North","7","Central 12-3","Gahanna (Wilbur C. Strait Sr. Field)"
